station_code,station_name,is_available,availability_note,water_quality_days,secchi_days,weather_days,secchi_coverage_ratio,weather_coverage_ratio,available_modalities,missing_modalities,weather_station_id,weather_station_name,weather_district,weather_distance_km,weather_overlap_days
2196,七效港西桥,True,,1617,1617,1617,1.0,1.0,water_quality|secchi|weather,,58366,崇明,崇明区,30.489,1617
2197,三沙洪交汇口,True,,1618,1618,1618,1.0,1.0,water_quality|secchi|weather,,58366,崇明,崇明区,11.1673,1618
2198,三甲港,True,,1559,1559,1559,1.0,1.0,water_quality|secchi|weather,,58369,浦东惠南,浦东新区,15.2168,1559
2199,临江,True,,1444,1443,1444,0.9993,1.0,water_quality|secchi|weather,,58366,崇明,崇明区,31.9392,1444
2200,二团,True,,1580,1578,1580,0.9987,1.0,water_quality|secchi|weather,,58369,浦东惠南,浦东新区,5.7206,1580
2201,五效,True,,1608,1608,1608,1.0,1.0,water_quality|secchi|weather,,58366,崇明,崇明区,22.6761,1608
2202,前卫村桥,True,,1623,1623,1623,1.0,1.0,water_quality|secchi|weather,,58370,浦东,浦东新区,24.4286,1623
2203,太浦河桥,True,,1574,1574,1574,1.0,1.0,water_quality|secchi|weather,,58462,松江,松江区,12.8055,1574
2204,急水港桥,True,,3022,1547,1533,0.5119,0.5073,water_quality|secchi|weather,,58461,青浦,青浦区,19.6393,1533
2205,斜塘口,True,,1581,1581,1581,1.0,1.0,water_quality|secchi|weather,,58462,松江,松江区,4.6528,1581
2206,横潦泾,True,,1564,1558,1564,0.9962,1.0,water_quality|secchi|weather,,58462,松江,松江区,8.2212,1564
2207,淀峰,True,,1578,1567,1578,0.993,1.0,water_quality|secchi|weather,,58461,青浦,青浦区,13.9726,1578
2208,蕴川路桥,True,,1209,1209,1209,1.0,1.0,water_quality|secchi|weather,,58362,宝山,宝山区,5.798,1209
2209,钱桥,True,,1600,1600,1600,1.0,1.0,water_quality|secchi|weather,,58463,奉贤,奉贤区,4.6624,1600
2210,闵行西界(松浦大桥),True,,1517,1517,1517,1.0,1.0,water_quality|secchi|weather,,58462,松江,松江区,14.1506,1517
2211,黄渡,True,,1551,1523,1551,0.9819,1.0,water_quality|secchi|weather,,58365,嘉定,嘉定区,11.8133,1551
2586,吴淞口,True,,1550,1550,1550,1.0,1.0,water_quality|secchi|weather,,58362,宝山,宝山区,15.1092,1550
2587,明星路桥,True,,1372,1356,1372,0.9883,1.0,water_quality|secchi|weather,,58463,奉贤,奉贤区,8.375,1372
2588,汾湖大桥(界标),True,,454,454,454,1.0,1.0,water_quality|secchi|weather,,58461,青浦,青浦区,26.3339,454
2589,浙江路桥,True,,1478,1476,1478,0.9986,1.0,water_quality|secchi|weather,,58367,徐家汇国家气象观测站,徐汇区,6.94,1478
3787,明星路桥（撤销）,False,withdrawn_station,0,0,0,0.0,0.0,,water_quality|secchi|weather,,,,,0
3788,青草沙进水口,False,too_few_observations,0,0,0,0.0,0.0,,water_quality|secchi|weather,,,,,0
6377,闵行西界,False,too_few_observations,0,0,0,0.0,0.0,,water_quality|secchi|weather,,,,,0
