station_code,station_name,province,city,basin,river,longitude,latitude,start_date,end_date,raw_rows,daily_rows,is_available,availability_note,source_file
2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,2020-12-17,2025-10-31,8177,1617,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2197,三沙洪交汇口,上海市,崇明区,长江流域,南横引河,121.384665,31.626252,2020-12-17,2025-10-31,8095,1618,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_南横引河_三沙洪交汇口_2197.csv
2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,2020-12-17,2025-10-31,7739,1559,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv
2199,临江,上海市,徐汇区,太湖流域,黄浦江,121.194699,31.801399,2020-12-17,2025-10-31,7161,1444,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_徐汇区_太湖流域_黄浦江_临江_2199.csv
2200,二团,上海市,浦东新区,太湖流域,大治河,121.754522,31.013867,2020-12-17,2025-10-31,7935,1580,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_大治河_二团_2200.csv
2201,五效,上海市,崇明区,长江流域,南横引河,121.6762,31.535298,2020-12-17,2025-10-31,8103,1608,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_南横引河_五效_2201.csv
2202,前卫村桥,上海市,崇明区,长江流域,北横引河,121.745275,31.362887,2020-12-17,2025-10-31,8166,1623,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_前卫村桥_2202.csv
2203,太浦河桥,上海市,青浦区,太湖流域,太浦河,121.041476,31.023111,2020-12-17,2025-10-31,7881,1574,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_青浦区_太湖流域_太浦河_太浦河桥_2203.csv
2204,急水港桥,上海市,青浦区,太湖流域,急水港,120.9170361,31.1155091,2014-04-03,2025-10-31,9182,3022,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_青浦区_太湖流域_急水港_急水港桥_2204.csv
2205,斜塘口,上海市,松江区,太湖流域,园泄泾,121.12989,31.005464,2020-12-17,2025-10-31,7940,1581,True,,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_松江区_太湖流域_园泄泾_斜塘口_2205.csv
