station_code,station_name,weather_station_id,weather_station_name,weather_district,weather_city,weather_latitude,weather_longitude,weather_distance_km,water_quality_days,weather_overlap_days,matched_weather_days
2196,七效港西桥,58366,崇明,崇明区,上海市,31.6664,121.4928,30.489,1617,1617,1617
2197,三沙洪交汇口,58366,崇明,崇明区,上海市,31.6664,121.4928,11.1673,1618,1618,1618
2198,三甲港,58369,浦东惠南,浦东新区,上海市,31.0564,121.7883,15.2168,1559,1559,1559
2199,临江,58366,崇明,崇明区,上海市,31.6664,121.4928,31.9392,1444,1444,1444
2200,二团,58369,浦东惠南,浦东新区,上海市,31.0564,121.7883,5.7206,1580,1580,1580
2201,五效,58366,崇明,崇明区,上海市,31.6664,121.4928,22.6761,1608,1608,1608
2202,前卫村桥,58370,浦东,浦东新区,上海市,31.2214,121.5486,24.4286,1623,1623,1623
2203,太浦河桥,58462,松江,松江区,上海市,31.0197,121.1758,12.8055,1574,1574,1574
2204,急水港桥,58461,青浦,青浦区,上海市,31.1342,121.1222,19.6393,3022,1533,1533
2205,斜塘口,58462,松江,松江区,上海市,31.0197,121.1758,4.6528,1581,1581,1581
2206,横潦泾,58462,松江,松江区,上海市,31.0197,121.1758,8.2212,1564,1564,1564
2207,淀峰,58461,青浦,青浦区,上海市,31.1342,121.1222,13.9726,1578,1578,1578
2208,蕴川路桥,58362,宝山,宝山区,上海市,31.4133,121.3647,5.798,1209,1209,1209
2209,钱桥,58463,奉贤,奉贤区,上海市,30.8872,121.4956,4.6624,1600,1600,1600
2210,闵行西界(松浦大桥),58462,松江,松江区,上海市,31.0197,121.1758,14.1506,1517,1517,1517
2211,黄渡,58365,嘉定,嘉定区,上海市,31.3803,121.1992,11.8133,1551,1551,1551
2586,吴淞口,58362,宝山,宝山区,上海市,31.4133,121.3647,15.1092,1550,1550,1550
2587,明星路桥,58463,奉贤,奉贤区,上海市,30.8872,121.4956,8.375,1372,1372,1372
2588,汾湖大桥(界标),58461,青浦,青浦区,上海市,31.1342,121.1222,26.3339,454,454,454
2589,浙江路桥,58367,徐家汇国家气象观测站,徐汇区,上海市,31.1922,121.4317,6.94,1478,1478,1478
