date,target_site,proxy_status,water_quality_proxy_station_code,water_quality_proxy_station_name,water_quality_proxy_province,water_quality_proxy_city,water_quality_proxy_basin,water_quality_proxy_river,water_quality_proxy_longitude,water_quality_proxy_latitude,water_temp,ph,dissolved_oxygen,conductivity,turbidity,codmn,nh3_n,toc,tp,tn,chlorophyll_a,algae_density,water_quality_class,station_status,secchi_depth_sd_m,secchi_formula,water_quality_source_file,weather_station_id,weather_station_name,weather_district,weather_city,weather_province,weather_longitude,weather_latitude,weather_altitude,weather_pressure,weather_air_temp,weather_humidity,weather_precipitation,weather_wind_speed,weather_wind_dir,water_weather_distance_km
2020-12-17,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,11.0,7.83,10.25,477.03,126.95,3.3,0.05,,0.03,1.19,,,Ⅱ,,0.0505298914657696,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1030.2125,6.6125,60.25,0.7,1.104167,26.955035,22.7724
2020-12-18,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,10.85,7.81,10.3,540.96,149.59,3.28,0.07,,0.08,2.5,,,Ⅱ,,0.0450463353390174,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1031.679167,6.4625,62.75,0.3,1.0375,352.284052,22.7724
2020-12-19,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,10.87,7.67,10.11,524.48,127.09,2.97,0.08,,0.12,3.05,,,Ⅱ,,0.0504909210668587,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1034.329167,5.8875,56.875,0.0,1.458333,359.475189,22.7724
2020-12-20,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,10.59,7.6,9.95,461.52,64.88,2.67,0.09,,0.07,2.99,,,Ⅱ,,0.0808376482118588,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1033.570833,3.795833,72.416667,0.0,0.795833,,22.7724
2020-12-21,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,10.14,7.63,9.9,458.5,49.39,2.52,0.09,,0.07,2.83,,,Ⅱ,,0.0978461947913529,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1029.654167,3.608333,67.666667,0.0,0.425,,22.7724
2020-12-22,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,9.75,7.65,9.79,459.02,39.44,2.43,0.1,,0.07,2.54,,,Ⅱ,,0.1145342627561155,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1025.658333,6.283333,75.416667,0.0,0.408333,,22.7724
2020-12-23,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,9.64,7.64,9.62,463.5,31.63,2.35,0.11,,0.07,2.46,,,Ⅱ,,0.133666268651976,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1020.545833,10.0125,76.291667,0.1,0.533333,,22.7724
2020-12-24,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,9.55,7.66,9.55,476.0,27.9,2.34,0.13,,0.07,2.46,,,Ⅱ,,0.1459379753262109,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1023.954167,6.708333,77.833333,0.0,0.845833,,22.7724
2020-12-25,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,9.66,7.72,9.47,499.94,27.68,2.46,0.17,,0.06,2.42,,,Ⅱ,,0.1467489488125982,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1025.491667,6.291667,69.583333,0.0,0.670833,,22.7724
2020-12-26,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,9.43,7.74,9.61,502.64,24.48,2.4,0.16,,0.07,2.31,,,Ⅱ,,0.1599275446514032,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1020.2375,10.7375,81.125,0.1,0.983333,,22.7724
2020-12-27,张家浜东闸站,substitute_not_direct_measurement,2198,三甲港,上海市,浦东新区,太湖流域,川杨河,121.785769,31.193231,9.85,7.89,10.39,506.94,23.13,2.7,0.12,,0.07,2.37,,,Ⅱ,,0.1664057451145616,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_浦东新区_太湖流域_川杨河_三甲港_2198.csv,58370,浦东,浦东新区,上海市,上海市,121.5486,31.2214,2.4,1020.504167,8.404167,91.666667,0.0,0.445833,,22.7724
