省份,城市,流域,河流,站点名称,经度,纬度,监测时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总有机碳,总磷,总氮,叶绿素α,藻密度,水质,站点
,,,,,,,,(℃),(无量纲),(mg/L),(μS/cm),(NTU),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(cells/L),类别,情况
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-17 20:00:00,12.4900,8.09000,8.00000,511.67000,230.79000,3.56000,0.44000,,0.17000,17.05000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-18 20:00:00,12.3800,8.07000,7.90000,530.15000,229.37000,3.35000,0.39000,,0.16000,12.49000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-19 20:00:00,12.2300,8.11000,8.14000,519.60000,210.82000,3.42000,0.41000,,0.15000,3.84000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-20 20:00:00,11.9200,8.08000,7.93000,544.65000,209.07000,3.45000,0.37000,,0.15000,4.92000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-21 20:00:00,11.7600,8.09000,8.00000,560.26000,203.83000,3.56000,0.35000,,0.14000,3.81000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-22 20:00:00,11.6200,8.08000,7.97000,578.61000,177.49000,3.46000,0.39000,,0.12000,4.69000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-23 20:00:00,11.3700,8.10000,8.17000,574.70000,162.82000,3.30000,0.36000,,0.11000,4.11000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-24 20:00:00,11.5300,8.11000,8.29000,550.20000,147.90000,3.11000,0.36000,,0.11000,3.70000,,,Ⅲ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-25 20:00:00,11.3200,8.08000,8.25000,571.73000,144.21000,3.37000,0.46000,,0.11000,4.65000,,,Ⅱ,
上海市,宝山区,太湖流域,黄浦江,吴淞口,121.522058,31.392691,2020-12-26 20:00:00,11.8200,8.06000,8.46000,485.21000,122.83000,3.69000,0.50000,,0.15000,5.09000,,,Ⅲ,
