factor,factor_label,intervention,mean_net_process_delta,mean_turbidity_delta,positive_response_day_change,mean_source_total_delta,mean_sink_total_delta,improved_days_fraction
songpu_flushing_potential,Songpu flushing potential,plus_20pct,-0.027843916865400255,-3.878935156601235,-0.03260869565217389,0.0,0.027843916865400255,1.0
songpu_flow_m3s_abs,Songpu absolute flow,set_to_threshold,-0.014330066659641016,-2.46101513980872,-0.021739130434782594,0.0009992926891888684,0.01532935934882989,0.8695652173913043
runoff_sediment_pulse,runoff sediment pulse,minus_20pct,-0.008612005625024455,-2.4390995483240085,0.0,-0.008612005625024455,0.0,0.25
dissolved_oxygen,dissolved oxygen,plus_20pct,-0.01076357835882321,-1.4383940284205268,-0.03260869565217389,0.0,0.010763578358823212,1.0
precipitation_3d,3-day cumulative precipitation,minus_20pct,-0.006173715473683457,-1.3279514714990637,-0.021739130434782594,-0.006173715473683455,0.0,0.5543478260869565
songpu_flow_m3s_abs,Songpu absolute flow,plus_20pct,-0.008273734322598406,-1.0519367585349217,-0.021739130434782594,0.0005413673459849258,0.00881510166858333,1.0
huangdu_flow_m3s_abs,Huangdu absolute flow,minus_20pct,-0.0061963533839357815,-1.0421407759299206,-0.010869565217391242,-0.009477244730879672,-0.0032808913469438857,1.0
huangdu_flow_m3s_abs,Huangdu absolute flow,plus_20pct,0.005159285898267638,0.8726677742255026,0.0,0.007878057341630013,0.00271877144336238,0.0
precipitation_3d,3-day cumulative precipitation,plus_20pct,0.0051940975234756655,1.1239334477585299,0.0,0.005194097523475668,0.0,0.0
songpu_flow_m3s_abs,Songpu absolute flow,minus_20pct,0.010172596167981081,1.3042344725284258,0.0,-0.0006131566131764685,-0.010785752781157548,0.0
dissolved_oxygen,dissolved oxygen,minus_20pct,0.015204930189309346,1.9087697706495848,0.010869565217391353,0.0,-0.015204930189309346,0.0
runoff_sediment_pulse,runoff sediment pulse,plus_20pct,0.007185248403951078,2.0921022101766074,0.0,0.007185248403951081,0.0,0.0
huangdu_flow_m3s_abs,Huangdu absolute flow,set_to_threshold,0.014817335915480736,2.2357517724854734,0.021739130434782594,0.018659544882514204,0.0038422089670334713,0.5652173913043478
songpu_flushing_potential,Songpu flushing potential,minus_20pct,0.03305278146449567,4.689759138769849,0.021739130434782594,0.0,-0.03305278146449568,0.0
songpu_flushing_potential,Songpu flushing potential,set_to_threshold,0.08410494350363348,4.98893387250042,0.13043478260869568,0.0,-0.08410494350363348,0.2717391304347826
precipitation_3d,3-day cumulative precipitation,set_to_threshold,0.17312154458199205,22.064075780010352,0.4782608695652174,0.17312154458199205,0.0,0.08695652173913043
