direction,domain,domain_label,score
driver,rainfall,降雨过程,0.15722507560009114
driver,flow,水动力过程,0.10724927598245539
driver,wind,风场扰动,0.048825011611805406
driver,runoff,径流输入,0.04761682028947751
driver,sediment,泥沙再悬浮,0.04019876627466067
driver,water_quality,水质本底,0.02510388258773001
driver,nutrients,营养盐负荷,0.02411893124799067
driver,self_purification,自净沉降,0.02118482609363503
driver,agriculture,农业面源,0.007579884682459321
inhibitor,water_quality,水质本底,0.16774082114838879
inhibitor,flow,水动力过程,0.05418654433400582
inhibitor,self_purification,自净沉降,0.033908599913620885
inhibitor,nutrients,营养盐负荷,0.030258242085556445
inhibitor,rainfall,降雨过程,0.017464066535981343
inhibitor,runoff,径流输入,0.016652883530859388
inhibitor,agriculture,农业面源,0.013883881594823755
inhibitor,wind,风场扰动,0.009031119248932198
inhibitor,sediment,泥沙再悬浮,0.008025655974066744
