target_date,actual_turbidity,predicted_turbidity,actual_clearness,predicted_clearness,dominant_driver_domain,dominant_driver_domain_score,dominant_inhibitor_domain,dominant_inhibitor_domain_score,top_driver_1_feature,top_driver_1_label,top_driver_1_domains,top_driver_1_score,top_driver_2_feature,top_driver_2_label,top_driver_2_domains,top_driver_2_score,top_driver_3_feature,top_driver_3_label,top_driver_3_domains,top_driver_3_score,top_inhibitor_1_feature,top_inhibitor_1_label,top_inhibitor_1_domains,top_inhibitor_1_score,top_inhibitor_2_feature,top_inhibitor_2_label,top_inhibitor_2_domains,top_inhibitor_2_score,top_inhibitor_3_feature,top_inhibitor_3_label,top_inhibitor_3_domains,top_inhibitor_3_score
2024-09-07,93.95316314697266,94.23452758789062,0.3214377164840698,0.3209354877471924,降雨过程,0.33747078850865364,水质本底,0.13710434269160032,dayofyear_sin,年周期正弦分量,降雨过程,0.1651877462863922,air_temp,气温,降雨过程,0.15963688492774963,songpu_resuspension_potential,松浦大桥再悬浮潜力,水动力过程 / 泥沙再悬浮,0.0652981698513031,ph,pH,水质本底,0.0686577782034874,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.04836072400212288,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.046019911766052246
2024-09-08,102.64383697509766,96.82315826416016,0.30657291412353516,0.316383421421051,降雨过程,0.41810464719310403,水质本底,0.1682403301820159,dayofyear_sin,年周期正弦分量,降雨过程,0.20652653276920319,air_temp,气温,降雨过程,0.1979799121618271,songpu_resuspension_potential,松浦大桥再悬浮潜力,水动力过程 / 泥沙再悬浮,0.07868566364049911,ph,pH,水质本底,0.09119565039873123,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.06149538978934288,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.058225639164447784
2024-09-09,107.69249725341797,103.85264587402344,0.2984999120235443,0.304604709148407,降雨过程,0.4477439159527421,水质本底,0.17520088609308004,dayofyear_sin,年周期正弦分量,降雨过程,0.22527028620243073,air_temp,气温,降雨过程,0.2041306346654892,songpu_resuspension_potential,松浦大桥再悬浮潜力,水动力过程 / 泥沙再悬浮,0.09221116453409195,ph,pH,水质本底,0.09526848793029785,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.07131770998239517,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.05880481004714966
2024-09-10,88.54666900634766,104.76923370361328,0.3313882350921631,0.3031274080276489,降雨过程,0.5204585767351091,水质本底,0.21096041379496455,dayofyear_sin,年周期正弦分量,降雨过程,0.26776382327079773,air_temp,气温,降雨过程,0.23338626325130463,songpu_resuspension_potential,松浦大桥再悬浮潜力,水动力过程 / 泥沙再悬浮,0.09956248104572296,ph,pH,水质本底,0.12941193580627441,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.08756814897060394,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.06592589616775513
2024-09-11,75.02999877929688,91.90301513671875,0.359162300825119,0.32514262199401855,降雨过程,0.4137679315172136,水质本底,0.1602459506248124,dayofyear_sin,年周期正弦分量,降雨过程,0.20505447685718536,air_temp,气温,降雨过程,0.1772245466709137,songpu_resuspension_potential,松浦大桥再悬浮潜力,水动力过程 / 泥沙再悬浮,0.07871076464653015,ph,pH,水质本底,0.09010089188814163,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.07044718414545059,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.05278119072318077
2024-09-12,55.55416488647461,78.59339904785156,0.4093917906284332,0.3513878583908081,降雨过程,0.35972642665728927,水质本底,0.14726085786242038,dayofyear_sin,年周期正弦分量,降雨过程,0.18104131519794464,air_temp,气温,降雨过程,0.15857937932014465,wind_dir_sin,风向正弦分量,风场扰动,0.07083075493574142,ph,pH,水质本底,0.08945423364639282,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.06120710074901581,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.04643496125936508
2024-09-13,53.781166076660156,61.53705978393555,0.4147982597351074,0.3923231363296509,降雨过程,0.27896406617946923,水质本底,0.11742845705884974,dayofyear_sin,年周期正弦分量,降雨过程,0.13997215032577515,air_temp,气温,降雨过程,0.1253574639558792,wind_dir_sin,风向正弦分量,风场扰动,0.05482232943177223,ph,pH,水质本底,0.07226859778165817,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.04860574007034302,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.0375794991850853
2024-09-14,54.09400177001953,60.31391906738281,0.4138317406177521,0.3956758379936218,降雨过程,0.27989059838000685,水质本底,0.12053611448209267,dayofyear_sin,年周期正弦分量,降雨过程,0.14087845385074615,air_temp,气温,降雨过程,0.12845924496650696,wind_dir_sin,风向正弦分量,风场扰动,0.05345214903354645,ph,pH,水质本底,0.07314114272594452,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.0450906977057457,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.040145810693502426
2024-09-15,55.83416748046875,61.38510513305664,0.40855351090431213,0.3927360773086548,降雨过程,0.291227747569792,水质本底,0.1228031818754971,dayofyear_sin,年周期正弦分量,降雨过程,0.14521294832229614,air_temp,气温,降雨过程,0.1359437257051468,wind_dir_sin,风向正弦分量,风场扰动,0.05509432777762413,ph,pH,水质本底,0.07309292256832123,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.04247807338833809,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.03871616721153259
2024-09-16,48.1952018737793,63.550941467285156,0.4330533444881439,0.38694334030151367,降雨过程,0.29299056534364354,水质本底,0.12522665777942166,dayofyear_sin,年周期正弦分量,降雨过程,0.1450074464082718,air_temp,气温,降雨过程,0.1346014440059662,wind_dir_sin,风向正弦分量,风场扰动,0.04963735491037369,ph,pH,水质本底,0.07435315102338791,nutrient_risk_index,营养盐风险指数,营养盐负荷 / 农业面源,0.044197410345077515,songpu_flow_m3s_7d_mean,松浦大桥流量7日均值,水动力过程 / 自净沉降,0.03405085578560829
