target_date,primary_scenario,primary_scenario_label,secondary_scenario,secondary_scenario_label,primary_score,secondary_score,scenario_confidence,risk_band,predicted_critical_transition_prob,predicted_self_purification_failure_prob,predicted_turbidity_surge_prob,net_process_response,runoff_source,erosion_source,phytoplankton_source,flushing_sink,purification_sink,precipitation_3d,precipitation_7d,songpu_resuspension_potential,songpu_flushing_potential,bed_shear_proxy,velocity_proxy,air_temp,evidence_summary
2024-09-07,algal_dominant,algal dominant,internal_release,internal release,0.6204,0.3954,medium,watch,0.1369,0.1478,0.125,0.0971,0.0907,0.0936,0.0016,0.0929,0.0169,0.0,3.1,358.651,1.3133,0.1755,0.6132,30.0792,air temperature exceeded warm threshold (30.1 degC); flushing potential remained below empirical threshold (1.313)
2024-09-08,algal_dominant,algal dominant,internal_release,internal release,0.486,0.4274,exploratory,watch,0.1214,0.1367,0.1125,0.0795,0.0567,0.0974,0.0014,0.1194,0.0144,6.9,10.0,268.83,1.7653,0.2245,0.7583,29.8708,air temperature exceeded warm threshold (29.9 degC); flushing potential remained below empirical threshold (1.765)
2024-09-09,internal_release,internal release,algal_dominant,algal dominant,0.5013,0.485,exploratory,watch,0.1103,0.1269,0.103,0.1986,0.1909,0.0984,0.0013,0.1475,0.0138,6.9,9.4,443.39,2.4595,0.238,0.7698,30.2125,air temperature exceeded warm threshold (30.2 degC); flushing potential remained below empirical threshold (2.460)
2024-09-10,external_input,external input,internal_release,internal release,0.6664,0.5375,medium,watch,0.1248,0.1494,0.122,1.2269,1.2674,0.1031,0.0008,0.2135,0.0135,42.8,42.9,350.2,3.2646,0.2956,0.9114,28.5565,air temperature exceeded warm threshold (28.6 degC); flushing potential remained below empirical threshold (3.265)
2024-09-11,internal_release,internal release,algal_dominant,algal dominant,0.5941,0.505,exploratory,watch,0.1356,0.1607,0.1338,0.3055,0.3968,0.0832,0.0009,0.2408,0.0154,39.7,46.6,1890.56,7.1375,0.3068,0.8863,29.2792,resuspension potential exceeded empirical threshold (1890.6); air temperature exceeded warm threshold (29.3 degC); flushing potential was strong (7.138)
2024-09-12,internal_release,internal release,algal_dominant,algal dominant,0.9582,0.5576,high,high,0.1199,0.1394,0.1208,0.2183,0.3902,0.1088,0.0005,0.4036,0.0095,39.7,46.6,1991.84,15.4896,0.3641,1.0349,30.325,resuspension potential exceeded empirical threshold (1991.8); air temperature exceeded warm threshold (30.3 degC); flushing potential was strong (15.490)
2024-09-13,internal_release,internal release,algal_dominant,algal dominant,1.094,0.5464,high,high,0.1485,0.1762,0.1583,1.3459,1.6496,0.1115,0.0003,0.5591,0.0054,3.8,46.6,1688.4,21.309,0.3952,1.0871,29.8458,bed shear proxy exceeded threshold (0.395); resuspension potential exceeded empirical threshold (1688.4); air temperature exceeded warm threshold (29.8 degC); flushing potential was strong (21.309)
2024-09-14,internal_release,internal release,algal_dominant,algal dominant,0.8247,0.5316,medium,heightened,0.1707,0.1832,0.1691,0.4589,0.8616,0.0881,0.0003,0.6215,0.0062,0.0,46.6,1333.8,20.6859,0.3795,1.0926,29.5,bed shear proxy exceeded threshold (0.380); resuspension potential exceeded empirical threshold (1333.8); air temperature exceeded warm threshold (29.5 degC); flushing potential was strong (20.686)
2024-09-15,internal_release,internal release,algal_dominant,algal dominant,0.798,0.4908,medium,heightened,0.203,0.2153,0.2018,-0.2242,0.173,0.0881,0.0004,0.5993,0.0072,6.4,46.1,972.63,14.076,0.3791,1.063,29.1375,bed shear proxy exceeded threshold (0.379); resuspension potential exceeded empirical threshold (972.6); air temperature exceeded warm threshold (29.1 degC); flushing potential was strong (14.076)
2024-09-16,external_input,external input,internal_release,internal release,0.8751,0.4208,high,heightened,0.2207,0.2364,0.2239,0.0053,0.3042,0.0855,0.0009,0.4588,0.0113,71.1,110.8,381.99,9.0524,0.3414,0.9213,27.7042,3-day precipitation exceeded threshold (71.1 mm); air temperature exceeded warm threshold (27.7 degC); flushing potential was strong (9.052)
2024-09-17,external_input,external input,chronic_composite,chronic composite,0.8196,0.6402,medium,heightened,0.2309,0.2534,0.2362,0.1977,0.42,0.0817,0.001,0.3094,0.0444,71.1,74.9,2687.84,3.7847,0.2834,0.7358,29.2583,3-day precipitation exceeded threshold (71.1 mm); resuspension potential exceeded empirical threshold (2687.8); air temperature exceeded warm threshold (29.3 degC); flushing potential was strong (3.785)
2024-09-18,internal_release,internal release,external_input,external input,0.9846,0.9013,medium,high,0.1839,0.209,0.1924,1.8577,1.9175,0.1103,0.0008,0.303,0.0021,64.9,71.3,1008.99,3.1381,0.382,1.0225,29.3625,3-day precipitation exceeded threshold (64.9 mm); bed shear proxy exceeded threshold (0.382); resuspension potential exceeded empirical threshold (1009.0); air temperature exceeded warm threshold (29.4 degC)
2024-09-19,algal_dominant,algal dominant,external_input,external input,0.7251,0.626,medium,heightened,0.1685,0.192,0.1843,0.389,0.4553,0.0864,0.0011,0.2679,0.0028,36.2,107.3,693.24,3.2273,0.3544,0.9828,28.175,resuspension potential exceeded empirical threshold (693.2); air temperature exceeded warm threshold (28.2 degC); flushing potential remained below empirical threshold (3.227)
2024-09-20,external_input,external input,algal_dominant,algal dominant,1.1437,0.5251,high,high,0.1744,0.1995,0.1889,1.3595,1.4424,0.0842,0.0017,0.2465,0.0054,70.5,141.6,311.37,1.4919,0.3215,0.8888,27.4208,3-day precipitation exceeded threshold (70.5 mm); 7-day precipitation exceeded threshold (141.6 mm); air temperature exceeded warm threshold (27.4 degC); flushing potential remained below empirical threshold (1.492)
2024-09-21,external_input,external input,algal_dominant,algal dominant,0.9259,0.7578,medium,heightened,0.1444,0.1589,0.1512,0.3826,0.3895,0.0769,0.0028,0.1195,0.0059,71.9,143.2,763.396,1.685,0.2082,0.6766,23.5042,3-day precipitation exceeded threshold (71.9 mm); 7-day precipitation exceeded threshold (143.2 mm); resuspension potential exceeded empirical threshold (763.4); air temperature exceeded warm threshold (23.5 degC)
2024-09-22,external_input,external input,internal_release,internal release,0.8631,0.6852,medium,heightened,0.1479,0.1768,0.1584,1.9314,1.897,0.1052,0.0022,0.1695,0.0014,35.9,136.8,505.75,2.1378,0.3209,0.8991,22.4,air temperature exceeded warm threshold (22.4 degC); flushing potential remained below empirical threshold (2.138)
2024-09-23,internal_release,internal release,algal_dominant,algal dominant,0.7838,0.686,medium,heightened,0.1268,0.1503,0.1438,0.4091,0.4034,0.1052,0.0024,0.1979,0.0021,2.0,72.5,872.1,3.6456,0.3211,0.9095,23.6583,resuspension potential exceeded empirical threshold (872.1); air temperature exceeded warm threshold (23.7 degC); flushing potential was strong (3.646)
2024-10-18,algal_dominant,algal dominant,internal_release,internal release,0.8196,0.4626,medium,heightened,0.178,0.1808,0.1688,0.2136,0.2695,0.0816,0.0056,0.2016,0.0287,8.0,16.4,425.06,1.5634,0.2828,0.8865,25.875,air temperature exceeded warm threshold (25.9 degC); flushing potential remained below empirical threshold (1.563)
2024-10-19,algal_dominant,algal dominant,internal_release,internal release,0.8011,0.4566,medium,heightened,0.1539,0.1666,0.1491,0.2656,0.2824,0.082,0.0062,0.1575,0.0273,0.3,16.6,355.35,0.9872,0.2884,0.8637,18.0167,flushing potential remained below empirical threshold (0.987)
2024-10-20,algal_dominant,algal dominant,internal_release,internal release,0.7729,0.5318,medium,heightened,0.143,0.1505,0.1395,0.1024,0.1063,0.0793,0.0088,0.0963,0.032,1.4,17.7,614.94,1.0312,0.2462,0.72,18.1375,resuspension potential exceeded empirical threshold (614.9); flushing potential remained below empirical threshold (1.031)
2024-10-21,algal_dominant,algal dominant,internal_release,internal release,0.8173,0.5642,medium,heightened,0.1242,0.1307,0.1177,0.3306,0.3016,0.1,0.0069,0.1158,0.0392,1.4,11.7,416.12,1.2638,0.2579,0.8415,20.7417,flushing potential remained below empirical threshold (1.264)
2024-10-22,algal_dominant,algal dominant,internal_release,internal release,0.7922,0.6993,medium,heightened,0.1222,0.1282,0.1159,0.1567,0.1247,0.0991,0.0075,0.1308,0.0264,1.2,9.4,862.42,2.175,0.2463,0.8283,16.3875,resuspension potential exceeded empirical threshold (862.4); flushing potential remained below empirical threshold (2.175)
2024-10-23,internal_release,internal release,algal_dominant,algal dominant,0.7537,0.6692,medium,heightened,0.1137,0.1219,0.1104,0.0888,0.0974,0.1038,0.0067,0.1938,0.0231,0.0,1.5,1080.7,4.437,0.3043,0.871,16.625,resuspension potential exceeded empirical threshold (1080.7); flushing potential was strong (4.437)
2024-10-24,internal_release,internal release,algal_dominant,algal dominant,0.7666,0.4194,medium,heightened,0.1127,0.1178,0.1082,-0.0351,0.0854,0.1044,0.0046,0.3062,0.0291,0.0,1.4,1308.7,8.384,0.3115,0.9514,18.6875,resuspension potential exceeded empirical threshold (1308.7); flushing potential was strong (8.384)
2024-10-25,internal_release,internal release,algal_dominant,algal dominant,1.0214,0.2879,high,high,0.1234,0.1335,0.1215,-0.0868,0.1577,0.1101,0.0025,0.4429,0.0326,4.3,5.7,1075.59,11.453,0.3791,1.0541,21.475,bed shear proxy exceeded threshold (0.379); resuspension potential exceeded empirical threshold (1075.6); flushing potential was strong (11.453)
2024-10-26,internal_release,internal release,external_input,external input,0.6305,0.5187,medium,watch,0.1671,0.1744,0.1643,0.6274,0.9349,0.0863,0.0037,0.4586,0.036,29.5,30.7,1001.08,11.9369,0.3531,0.9838,21.6875,resuspension potential exceeded empirical threshold (1001.1); air temperature exceeded warm threshold (21.7 degC); flushing potential was strong (11.937)
2024-10-27,internal_release,internal release,external_input,external input,0.8346,0.4936,medium,heightened,0.1624,0.1622,0.1558,0.0995,0.3818,0.1068,0.0033,0.473,0.0354,46.8,46.8,806.0,11.0986,0.34,1.004,18.6458,resuspension potential exceeded empirical threshold (806.0); flushing potential was strong (11.099)
2024-10-28,internal_release,internal release,external_input,external input,0.9295,0.703,high,heightened,0.1939,0.221,0.2063,1.2552,1.5107,0.1083,0.0031,0.4695,0.018,42.5,46.8,876.72,12.4187,0.3582,1.0253,17.1125,resuspension potential exceeded empirical threshold (876.7); flushing potential was strong (12.419)
2024-10-29,internal_release,internal release,algal_dominant,algal dominant,0.8967,0.6115,high,heightened,0.1796,0.1968,0.1917,0.1351,0.4088,0.1073,0.0031,0.4922,0.014,17.3,46.8,808.86,10.0206,0.3464,1.0304,17.5833,resuspension potential exceeded empirical threshold (808.9); flushing potential was strong (10.021)
2024-10-30,internal_release,internal release,algal_dominant,algal dominant,0.6183,0.4473,medium,watch,0.1871,0.1939,0.1917,0.0848,0.3509,0.0858,0.0034,0.4528,0.0165,0.0,46.8,704.0,6.3992,0.3456,1.0151,19.3292,resuspension potential exceeded empirical threshold (704.0); flushing potential was strong (6.399)
2024-10-31,external_input,external input,internal_release,internal release,0.9478,0.4783,high,heightened,0.2133,0.2218,0.2126,-0.0515,0.1646,0.0836,0.005,0.3544,0.03,111.8,158.6,569.94,4.4769,0.3136,0.9419,19.4375,3-day precipitation exceeded threshold (111.8 mm); 7-day precipitation exceeded threshold (158.6 mm); flushing potential was strong (4.477)
2024-11-01,external_input,external input,internal_release,internal release,1.0665,0.6692,high,high,0.1891,0.1999,0.1859,0.3361,0.4639,0.1061,0.0052,0.3007,0.0347,160.9,203.4,463.22,2.689,0.332,0.9353,18.1542,3-day precipitation exceeded threshold (160.9 mm); 7-day precipitation exceeded threshold (203.4 mm); flushing potential remained below empirical threshold (2.689)
2024-11-02,external_input,external input,algal_dominant,algal dominant,1.0367,0.9096,medium,high,0.1578,0.1662,0.1555,0.4131,0.4974,0.0839,0.007,0.2178,0.0341,160.9,178.2,2630.25,9.2229,0.3173,0.8771,18.425,3-day precipitation exceeded threshold (160.9 mm); 7-day precipitation exceeded threshold (178.2 mm); resuspension potential exceeded empirical threshold (2630.2); flushing potential was strong (9.223)
2024-11-03,external_input,external input,internal_release,internal release,1.0223,0.8841,medium,high,0.1553,0.1726,0.1553,2.046,2.2268,0.1085,0.004,0.4268,0.0079,49.1,160.9,1201.75,12.8215,0.3606,0.9987,18.0042,3-day precipitation exceeded threshold (49.1 mm); 7-day precipitation exceeded threshold (160.9 mm); resuspension potential exceeded empirical threshold (1201.8); flushing potential was strong (12.822)
2024-11-04,internal_release,internal release,algal_dominant,algal dominant,0.7476,0.5648,medium,heightened,0.1225,0.1306,0.1294,0.1554,0.3998,0.1024,0.0041,0.4802,0.0125,0.0,160.9,1327.05,14.5847,0.287,0.9966,18.5333,7-day precipitation exceeded threshold (160.9 mm); resuspension potential exceeded empirical threshold (1327.1); flushing potential was strong (14.585)
2024-11-05,algal_dominant,algal dominant,internal_release,internal release,0.716,0.6019,medium,watch,0.1118,0.1212,0.1132,-0.1686,0.1199,0.086,0.0052,0.481,0.0134,0.0,160.9,801.42,11.0029,0.3484,0.9521,15.5167,7-day precipitation exceeded threshold (160.9 mm); resuspension potential exceeded empirical threshold (801.4); flushing potential was strong (11.003)
2024-11-06,algal_dominant,algal dominant,internal_release,internal release,0.7766,0.5752,medium,heightened,0.1016,0.1092,0.1025,-0.1649,0.0717,0.0833,0.0065,0.419,0.0152,0.0,160.9,811.2,7.673,0.308,0.909,15.6875,7-day precipitation exceeded threshold (160.9 mm); resuspension potential exceeded empirical threshold (811.2); flushing potential was strong (7.673)
2024-11-07,algal_dominant,algal dominant,internal_release,internal release,0.8581,0.7406,medium,heightened,0.0933,0.1004,0.0949,-0.1069,0.0646,0.1032,0.0062,0.3705,0.0178,0.0,49.1,1034.0,8.818,0.297,0.9151,15.2167,resuspension potential exceeded empirical threshold (1034.0); flushing potential was strong (8.818)
2024-11-08,internal_release,internal release,algal_dominant,algal dominant,0.895,0.4271,high,heightened,0.0881,0.1007,0.0943,-0.0722,0.1588,0.1066,0.0033,0.4382,0.0163,0.0,0.0,890.24,11.318,0.3375,1.0269,18.1208,resuspension potential exceeded empirical threshold (890.2); flushing potential was strong (11.318)
2024-11-09,internal_release,internal release,algal_dominant,algal dominant,0.6954,0.5222,medium,watch,0.1137,0.1238,0.118,-0.1401,0.1611,0.0861,0.0032,0.4775,0.0292,2.8,2.8,827.4,15.0074,0.3506,1.0267,19.05,resuspension potential exceeded empirical threshold (827.4); flushing potential was strong (15.007)
2024-11-10,internal_release,internal release,algal_dominant,algal dominant,0.7155,0.3741,medium,watch,0.1241,0.1379,0.1324,0.439,0.7774,0.0864,0.0032,0.5215,0.023,3.8,3.8,1081.71,16.9758,0.3548,1.0287,17.2542,resuspension potential exceeded empirical threshold (1081.7); flushing potential was strong (16.976)
2024-11-11,internal_release,internal release,algal_dominant,algal dominant,0.9851,0.3438,high,high,0.1345,0.146,0.1468,0.2748,0.619,0.1082,0.0026,0.5552,0.025,3.8,3.8,968.35,14.8621,0.357,1.0563,16.9792,resuspension potential exceeded empirical threshold (968.4); flushing potential was strong (14.862)
2024-11-12,internal_release,internal release,algal_dominant,algal dominant,0.7622,0.4785,medium,heightened,0.1831,0.1891,0.1885,0.4146,0.7762,0.0855,0.0027,0.5371,0.0323,1.0,3.8,873.65,14.0293,0.3413,1.0593,17.6348,resuspension potential exceeded empirical threshold (873.6); flushing potential was strong (14.029)
2024-11-13,internal_release,internal release,algal_dominant,algal dominant,0.6999,0.3647,medium,watch,0.1935,0.196,0.1953,-0.1416,0.203,0.0848,0.0033,0.5169,0.0281,0.0,3.8,835.33,9.7877,0.3307,1.0354,19.4333,resuspension potential exceeded empirical threshold (835.3); flushing potential was strong (9.788)
2024-11-14,internal_release,internal release,algal_dominant,algal dominant,0.5574,0.4121,exploratory,watch,0.2165,0.2233,0.2169,-0.1395,0.1509,0.0844,0.0039,0.442,0.0382,2.7,6.5,673.03,6.0249,0.3255,0.9976,21.1,resuspension potential exceeded empirical threshold (673.0); flushing potential was strong (6.025)
2024-11-15,algal_dominant,algal dominant,internal_release,internal release,0.5526,0.473,exploratory,watch,0.216,0.2221,0.2132,0.5464,0.7607,0.0827,0.0046,0.3612,0.0374,2.8,6.6,572.4,3.4935,0.2987,0.9814,20.0625,resuspension potential exceeded empirical threshold (572.4); flushing potential remained below empirical threshold (3.493)
