date,station_name,river_name,station_code,variable,value,unit,source_sheet_index
2022-01-01,松浦大桥,黄浦江,63401120,flow,602.0,m3/s,2
2022-01-02,松浦大桥,黄浦江,63401120,flow,413.0,m3/s,2
2022-01-03,松浦大桥,黄浦江,63401120,flow,352.0,m3/s,2
2022-01-04,松浦大桥,黄浦江,63401120,flow,279.0,m3/s,2
2022-01-05,松浦大桥,黄浦江,63401120,flow,160.0,m3/s,2
2022-01-06,松浦大桥,黄浦江,63401120,flow,300.0,m3/s,2
2022-01-07,松浦大桥,黄浦江,63401120,flow,568.0,m3/s,2
2022-01-08,松浦大桥,黄浦江,63401120,flow,687.0,m3/s,2
2022-01-09,松浦大桥,黄浦江,63401120,flow,724.0,m3/s,2
2022-01-10,松浦大桥,黄浦江,63401120,flow,799.0,m3/s,2
2022-01-11,松浦大桥,黄浦江,63401120,flow,672.0,m3/s,2
2022-01-12,松浦大桥,黄浦江,63401120,flow,1140.0,m3/s,2
2022-01-13,松浦大桥,黄浦江,63401120,flow,727.0,m3/s,2
2022-01-14,松浦大桥,黄浦江,63401120,flow,719.0,m3/s,2
2022-01-15,松浦大桥,黄浦江,63401120,flow,725.0,m3/s,2
2022-01-16,松浦大桥,黄浦江,63401120,flow,355.0,m3/s,2
2022-01-17,松浦大桥,黄浦江,63401120,flow,562.0,m3/s,2
2022-01-18,松浦大桥,黄浦江,63401120,flow,433.0,m3/s,2
2022-01-19,松浦大桥,黄浦江,63401120,flow,509.0,m3/s,2
2022-01-20,松浦大桥,黄浦江,63401120,flow,263.0,m3/s,2
2022-01-21,松浦大桥,黄浦江,63401120,flow,439.0,m3/s,2
2022-01-22,松浦大桥,黄浦江,63401120,flow,352.0,m3/s,2
2022-01-23,松浦大桥,黄浦江,63401120,flow,236.0,m3/s,2
2022-01-24,松浦大桥,黄浦江,63401120,flow,396.0,m3/s,2
2022-01-25,松浦大桥,黄浦江,63401120,flow,615.0,m3/s,2
2022-01-26,松浦大桥,黄浦江,63401120,flow,626.0,m3/s,2
2022-01-27,松浦大桥,黄浦江,63401120,flow,733.0,m3/s,2
2022-01-28,松浦大桥,黄浦江,63401120,flow,779.0,m3/s,2
2022-01-29,松浦大桥,黄浦江,63401120,flow,929.0,m3/s,2
2022-01-30,松浦大桥,黄浦江,63401120,flow,813.0,m3/s,2
2022-01-31,松浦大桥,黄浦江,63401120,flow,780.0,m3/s,2
2022-02-01,松浦大桥,黄浦江,63401120,flow,537.0,m3/s,2
2022-02-02,松浦大桥,黄浦江,63401120,flow,525.0,m3/s,2
2022-02-03,松浦大桥,黄浦江,63401120,flow,496.0,m3/s,2
2022-02-04,松浦大桥,黄浦江,63401120,flow,578.0,m3/s,2
2022-02-05,松浦大桥,黄浦江,63401120,flow,666.0,m3/s,2
2022-02-06,松浦大桥,黄浦江,63401120,flow,767.0,m3/s,2
2022-02-07,松浦大桥,黄浦江,63401120,flow,699.0,m3/s,2
2022-02-08,松浦大桥,黄浦江,63401120,flow,832.0,m3/s,2
2022-02-09,松浦大桥,黄浦江,63401120,flow,1110.0,m3/s,2
2022-02-10,松浦大桥,黄浦江,63401120,flow,1190.0,m3/s,2
2022-02-11,松浦大桥,黄浦江,63401120,flow,956.0,m3/s,2
2022-02-12,松浦大桥,黄浦江,63401120,flow,808.0,m3/s,2
2022-02-13,松浦大桥,黄浦江,63401120,flow,680.0,m3/s,2
2022-02-14,松浦大桥,黄浦江,63401120,flow,620.0,m3/s,2
2022-02-15,松浦大桥,黄浦江,63401120,flow,511.0,m3/s,2
2022-02-16,松浦大桥,黄浦江,63401120,flow,582.0,m3/s,2
2022-02-17,松浦大桥,黄浦江,63401120,flow,369.0,m3/s,2
2022-02-18,松浦大桥,黄浦江,63401120,flow,430.0,m3/s,2
2022-02-19,松浦大桥,黄浦江,63401120,flow,440.0,m3/s,2
2022-02-20,松浦大桥,黄浦江,63401120,flow,533.0,m3/s,2
2022-02-21,松浦大桥,黄浦江,63401120,flow,898.0,m3/s,2
2022-02-22,松浦大桥,黄浦江,63401120,flow,730.0,m3/s,2
2022-02-23,松浦大桥,黄浦江,63401120,flow,782.0,m3/s,2
2022-02-24,松浦大桥,黄浦江,63401120,flow,1020.0,m3/s,2
2022-02-25,松浦大桥,黄浦江,63401120,flow,1140.0,m3/s,2
2022-02-26,松浦大桥,黄浦江,63401120,flow,1130.0,m3/s,2
2022-02-27,松浦大桥,黄浦江,63401120,flow,809.0,m3/s,2
2022-02-28,松浦大桥,黄浦江,63401120,flow,737.0,m3/s,2
2022-03-01,松浦大桥,黄浦江,63401120,flow,481.0,m3/s,2
2022-03-02,松浦大桥,黄浦江,63401120,flow,419.0,m3/s,2
2022-03-03,松浦大桥,黄浦江,63401120,flow,552.0,m3/s,2
2022-03-04,松浦大桥,黄浦江,63401120,flow,419.0,m3/s,2
2022-03-05,松浦大桥,黄浦江,63401120,flow,362.0,m3/s,2
2022-03-06,松浦大桥,黄浦江,63401120,flow,522.0,m3/s,2
2022-03-07,松浦大桥,黄浦江,63401120,flow,657.0,m3/s,2
2022-03-08,松浦大桥,黄浦江,63401120,flow,650.0,m3/s,2
2022-03-09,松浦大桥,黄浦江,63401120,flow,709.0,m3/s,2
2022-03-10,松浦大桥,黄浦江,63401120,flow,929.0,m3/s,2
2022-03-11,松浦大桥,黄浦江,63401120,flow,1040.0,m3/s,2
2022-03-12,松浦大桥,黄浦江,63401120,flow,1000.0,m3/s,2
2022-03-13,松浦大桥,黄浦江,63401120,flow,898.0,m3/s,2
2022-03-14,松浦大桥,黄浦江,63401120,flow,540.0,m3/s,2
2022-03-15,松浦大桥,黄浦江,63401120,flow,500.0,m3/s,2
2022-03-16,松浦大桥,黄浦江,63401120,flow,477.0,m3/s,2
2022-03-17,松浦大桥,黄浦江,63401120,flow,174.0,m3/s,2
2022-03-18,松浦大桥,黄浦江,63401120,flow,392.0,m3/s,2
2022-03-19,松浦大桥,黄浦江,63401120,flow,308.0,m3/s,2
2022-03-20,松浦大桥,黄浦江,63401120,flow,446.0,m3/s,2
2022-03-21,松浦大桥,黄浦江,63401120,flow,528.0,m3/s,2
2022-03-22,松浦大桥,黄浦江,63401120,flow,748.0,m3/s,2
2022-03-23,松浦大桥,黄浦江,63401120,flow,1050.0,m3/s,2
2022-03-24,松浦大桥,黄浦江,63401120,flow,977.0,m3/s,2
2022-03-25,松浦大桥,黄浦江,63401120,flow,1160.0,m3/s,2
2022-03-26,松浦大桥,黄浦江,63401120,flow,1070.0,m3/s,2
2022-03-27,松浦大桥,黄浦江,63401120,flow,1230.0,m3/s,2
2022-03-28,松浦大桥,黄浦江,63401120,flow,858.0,m3/s,2
2022-03-29,松浦大桥,黄浦江,63401120,flow,777.0,m3/s,2
2022-03-30,松浦大桥,黄浦江,63401120,flow,660.0,m3/s,2
2022-03-31,松浦大桥,黄浦江,63401120,flow,540.0,m3/s,2
2022-04-01,松浦大桥,黄浦江,63401120,flow,583.0,m3/s,2
2022-04-02,松浦大桥,黄浦江,63401120,flow,650.0,m3/s,2
2022-04-03,松浦大桥,黄浦江,63401120,flow,653.0,m3/s,2
2022-04-04,松浦大桥,黄浦江,63401120,flow,670.0,m3/s,2
2022-04-05,松浦大桥,黄浦江,63401120,flow,729.0,m3/s,2
2022-04-06,松浦大桥,黄浦江,63401120,flow,765.0,m3/s,2
2022-04-07,松浦大桥,黄浦江,63401120,flow,828.0,m3/s,2
2022-04-08,松浦大桥,黄浦江,63401120,flow,967.0,m3/s,2
2022-04-09,松浦大桥,黄浦江,63401120,flow,1100.0,m3/s,2
2022-04-10,松浦大桥,黄浦江,63401120,flow,976.0,m3/s,2
2022-04-11,松浦大桥,黄浦江,63401120,flow,942.0,m3/s,2
2022-04-12,松浦大桥,黄浦江,63401120,flow,708.0,m3/s,2
2022-04-13,松浦大桥,黄浦江,63401120,flow,481.0,m3/s,2
2022-04-14,松浦大桥,黄浦江,63401120,flow,900.0,m3/s,2
2022-04-15,松浦大桥,黄浦江,63401120,flow,689.0,m3/s,2
2022-04-16,松浦大桥,黄浦江,63401120,flow,684.0,m3/s,2
2022-04-17,松浦大桥,黄浦江,63401120,flow,724.0,m3/s,2
2022-04-18,松浦大桥,黄浦江,63401120,flow,502.0,m3/s,2
2022-04-19,松浦大桥,黄浦江,63401120,flow,540.0,m3/s,2
2022-04-20,松浦大桥,黄浦江,63401120,flow,548.0,m3/s,2
2022-04-21,松浦大桥,黄浦江,63401120,flow,729.0,m3/s,2
2022-04-22,松浦大桥,黄浦江,63401120,flow,756.0,m3/s,2
2022-04-23,松浦大桥,黄浦江,63401120,flow,864.0,m3/s,2
2022-04-24,松浦大桥,黄浦江,63401120,flow,937.0,m3/s,2
2022-04-25,松浦大桥,黄浦江,63401120,flow,768.0,m3/s,2
2022-04-26,松浦大桥,黄浦江,63401120,flow,805.0,m3/s,2
2022-04-27,松浦大桥,黄浦江,63401120,flow,555.0,m3/s,2
2022-04-28,松浦大桥,黄浦江,63401120,flow,487.0,m3/s,2
2022-04-29,松浦大桥,黄浦江,63401120,flow,411.0,m3/s,2
2022-04-30,松浦大桥,黄浦江,63401120,flow,580.0,m3/s,2
2022-05-01,松浦大桥,黄浦江,63401120,flow,554.0,m3/s,2
2022-05-02,松浦大桥,黄浦江,63401120,flow,615.0,m3/s,2
2022-05-03,松浦大桥,黄浦江,63401120,flow,506.0,m3/s,2
2022-05-04,松浦大桥,黄浦江,63401120,flow,597.0,m3/s,2
2022-05-05,松浦大桥,黄浦江,63401120,flow,539.0,m3/s,2
2022-05-06,松浦大桥,黄浦江,63401120,flow,566.0,m3/s,2
2022-05-07,松浦大桥,黄浦江,63401120,flow,566.0,m3/s,2
2022-05-08,松浦大桥,黄浦江,63401120,flow,735.0,m3/s,2
2022-05-09,松浦大桥,黄浦江,63401120,flow,726.0,m3/s,2
2022-05-10,松浦大桥,黄浦江,63401120,flow,723.0,m3/s,2
2022-05-11,松浦大桥,黄浦江,63401120,flow,691.0,m3/s,2
2022-05-12,松浦大桥,黄浦江,63401120,flow,538.0,m3/s,2
2022-05-13,松浦大桥,黄浦江,63401120,flow,491.0,m3/s,2
2022-05-14,松浦大桥,黄浦江,63401120,flow,420.0,m3/s,2
2022-05-15,松浦大桥,黄浦江,63401120,flow,533.0,m3/s,2
2022-05-16,松浦大桥,黄浦江,63401120,flow,452.0,m3/s,2
2022-05-17,松浦大桥,黄浦江,63401120,flow,409.0,m3/s,2
2022-05-18,松浦大桥,黄浦江,63401120,flow,304.0,m3/s,2
2022-05-19,松浦大桥,黄浦江,63401120,flow,317.0,m3/s,2
2022-05-20,松浦大桥,黄浦江,63401120,flow,371.0,m3/s,2
2022-05-21,松浦大桥,黄浦江,63401120,flow,465.0,m3/s,2
2022-05-22,松浦大桥,黄浦江,63401120,flow,504.0,m3/s,2
2022-05-23,松浦大桥,黄浦江,63401120,flow,485.0,m3/s,2
2022-05-24,松浦大桥,黄浦江,63401120,flow,458.0,m3/s,2
2022-05-25,松浦大桥,黄浦江,63401120,flow,536.0,m3/s,2
2022-05-26,松浦大桥,黄浦江,63401120,flow,468.0,m3/s,2
2022-05-27,松浦大桥,黄浦江,63401120,flow,542.0,m3/s,2
2022-05-28,松浦大桥,黄浦江,63401120,flow,447.0,m3/s,2
2022-05-29,松浦大桥,黄浦江,63401120,flow,553.0,m3/s,2
2022-05-30,松浦大桥,黄浦江,63401120,flow,362.0,m3/s,2
2022-05-31,松浦大桥,黄浦江,63401120,flow,462.0,m3/s,2
2022-06-01,松浦大桥,黄浦江,63401120,flow,408.0,m3/s,2
2022-06-02,松浦大桥,黄浦江,63401120,flow,276.0,m3/s,2
2022-06-03,松浦大桥,黄浦江,63401120,flow,289.0,m3/s,2
2022-06-04,松浦大桥,黄浦江,63401120,flow,298.0,m3/s,2
2022-06-05,松浦大桥,黄浦江,63401120,flow,641.0,m3/s,2
2022-06-06,松浦大桥,黄浦江,63401120,flow,948.0,m3/s,2
2022-06-07,松浦大桥,黄浦江,63401120,flow,699.0,m3/s,2
2022-06-08,松浦大桥,黄浦江,63401120,flow,662.0,m3/s,2
2022-06-09,松浦大桥,黄浦江,63401120,flow,583.0,m3/s,2
2022-06-10,松浦大桥,黄浦江,63401120,flow,563.0,m3/s,2
2022-06-11,松浦大桥,黄浦江,63401120,flow,411.0,m3/s,2
2022-06-12,松浦大桥,黄浦江,63401120,flow,465.0,m3/s,2
2022-06-13,松浦大桥,黄浦江,63401120,flow,430.0,m3/s,2
2022-06-14,松浦大桥,黄浦江,63401120,flow,301.0,m3/s,2
2022-06-15,松浦大桥,黄浦江,63401120,flow,297.0,m3/s,2
2022-06-16,松浦大桥,黄浦江,63401120,flow,240.0,m3/s,2
2022-06-17,松浦大桥,黄浦江,63401120,flow,385.0,m3/s,2
2022-06-18,松浦大桥,黄浦江,63401120,flow,241.0,m3/s,2
2022-06-19,松浦大桥,黄浦江,63401120,flow,335.0,m3/s,2
2022-06-20,松浦大桥,黄浦江,63401120,flow,357.0,m3/s,2
2022-06-21,松浦大桥,黄浦江,63401120,flow,413.0,m3/s,2
2022-06-22,松浦大桥,黄浦江,63401120,flow,522.0,m3/s,2
2022-06-23,松浦大桥,黄浦江,63401120,flow,768.0,m3/s,2
2022-06-24,松浦大桥,黄浦江,63401120,flow,731.0,m3/s,2
2022-06-25,松浦大桥,黄浦江,63401120,flow,747.0,m3/s,2
2022-06-26,松浦大桥,黄浦江,63401120,flow,599.0,m3/s,2
2022-06-27,松浦大桥,黄浦江,63401120,flow,634.0,m3/s,2
2022-06-28,松浦大桥,黄浦江,63401120,flow,513.0,m3/s,2
2022-06-29,松浦大桥,黄浦江,63401120,flow,394.0,m3/s,2
2022-06-30,松浦大桥,黄浦江,63401120,flow,404.0,m3/s,2
2022-07-01,松浦大桥,黄浦江,63401120,flow,438.0,m3/s,2
2022-07-02,松浦大桥,黄浦江,63401120,flow,267.0,m3/s,2
2022-07-03,松浦大桥,黄浦江,63401120,flow,330.0,m3/s,2
2022-07-04,松浦大桥,黄浦江,63401120,flow,292.0,m3/s,2
2022-07-05,松浦大桥,黄浦江,63401120,flow,286.0,m3/s,2
2022-07-06,松浦大桥,黄浦江,63401120,flow,479.0,m3/s,2
2022-07-07,松浦大桥,黄浦江,63401120,flow,437.0,m3/s,2
2022-07-08,松浦大桥,黄浦江,63401120,flow,380.0,m3/s,2
2022-07-09,松浦大桥,黄浦江,63401120,flow,594.0,m3/s,2
2022-07-10,松浦大桥,黄浦江,63401120,flow,453.0,m3/s,2
2022-07-11,松浦大桥,黄浦江,63401120,flow,407.0,m3/s,2
2022-07-12,松浦大桥,黄浦江,63401120,flow,362.0,m3/s,2
2022-07-13,松浦大桥,黄浦江,63401120,flow,381.0,m3/s,2
2022-07-14,松浦大桥,黄浦江,63401120,flow,110.0,m3/s,2
2022-07-15,松浦大桥,黄浦江,63401120,flow,127.0,m3/s,2
2022-07-16,松浦大桥,黄浦江,63401120,flow,67.5,m3/s,2
2022-07-17,松浦大桥,黄浦江,63401120,flow,147.0,m3/s,2
