date,songpu_flow_m3s,songpu_water_level_m,huangdu_flow_m3s,huangdu_water_level_m,huangdu_flow_m3s_abs,huangdu_flow_m3s_reverse_flag,huangdu_flow_m3s_3d_mean,huangdu_flow_m3s_7d_mean,songpu_flow_m3s_abs,songpu_flow_m3s_reverse_flag,songpu_flow_m3s_3d_mean,songpu_flow_m3s_7d_mean,huangdu_water_level_m_1d_diff,huangdu_water_level_m_3d_mean,songpu_water_level_m_1d_diff,songpu_water_level_m_3d_mean,songpu_flow_level_coupling,huangdu_flow_level_coupling
2022-01-01,602.0,2.12,26.4,2.48,26.4,0,26.4,26.4,602.0,0,602.0,602.0,0.0,2.48,0.0,2.12,1276.24,65.472
2022-01-02,413.0,2.14,10.9,2.48,10.9,0,18.65,18.65,413.0,0,507.5,507.5,0.0,2.48,0.020000000000000018,2.13,883.82,27.032
2022-01-03,352.0,2.21,3.8,2.56,3.8,0,13.700000000000001,13.700000000000001,352.0,0,455.6666666666667,455.6666666666667,0.08000000000000007,2.5066666666666664,0.06999999999999984,2.1566666666666667,777.92,9.728
2022-01-04,279.0,2.27,5.8,2.64,5.8,0,6.833333333333333,11.725,279.0,0,348.0,411.5,0.08000000000000007,2.56,0.06000000000000005,2.2066666666666666,633.33,15.312
2022-01-05,160.0,2.3,4.3,2.67,4.3,0,4.633333333333333,10.239999999999998,160.0,0,263.6666666666667,361.2,0.029999999999999805,2.6233333333333335,0.029999999999999805,2.2600000000000002,368.0,11.481
2022-01-06,300.0,2.43,3.9,2.73,3.9,0,4.666666666666666,9.183333333333334,300.0,0,246.33333333333334,351.0,0.06000000000000005,2.68,0.13000000000000034,2.3333333333333335,729.0,10.647
2022-01-07,568.0,2.44,4.6,2.76,4.6,0,4.266666666666667,8.528571428571428,568.0,0,342.6666666666667,382.0,0.029999999999999805,2.72,0.009999999999999787,2.39,1385.92,12.695999999999998
2022-01-08,687.0,2.36,9.9,2.77,9.9,0,6.133333333333333,6.171428571428572,687.0,0,518.3333333333334,394.14285714285717,0.010000000000000231,2.7533333333333334,-0.08000000000000007,2.41,1621.32,27.423000000000002
2022-01-09,724.0,2.29,27.5,2.73,27.5,0,14.0,8.542857142857143,724.0,0,659.6666666666666,438.57142857142856,-0.040000000000000036,2.7533333333333334,-0.06999999999999984,2.3633333333333333,1657.96,75.075
2022-01-10,799.0,2.28,31.0,2.67,31.0,0,22.8,12.428571428571429,799.0,0,736.6666666666666,502.42857142857144,-0.06000000000000005,2.723333333333333,-0.010000000000000231,2.31,1821.7199999999998,82.77
2022-01-11,672.0,2.26,28.7,2.62,28.7,0,29.066666666666666,15.700000000000001,672.0,0,731.6666666666666,558.5714285714286,-0.04999999999999982,2.6733333333333333,-0.020000000000000018,2.276666666666667,1518.7199999999998,75.194
2022-01-12,1140.0,2.3,32.2,2.6,32.2,0,30.633333333333336,19.685714285714287,1140.0,0,870.3333333333334,698.5714285714286,-0.020000000000000018,2.63,0.040000000000000036,2.28,2622.0,83.72000000000001
2022-01-13,727.0,2.09,30.8,2.55,30.8,0,30.566666666666666,23.52857142857143,727.0,0,846.3333333333334,759.5714285714286,-0.050000000000000266,2.5900000000000003,-0.20999999999999996,2.2166666666666663,1519.4299999999998,78.53999999999999
