source_domain,target_domain,weight
sediment,sediment,6146.0
flow,flow,3908.0
rainfall,rainfall,3086.0
nutrients,nutrients,2208.0
turbidity,turbidity,1788.0
water_quality,water_quality,1350.0
runoff,runoff,1282.0
rainfall,flow,539.0
flow,rainfall,539.0
wind,wind,428.0
sediment,flow,416.0
flow,sediment,416.0
runoff,rainfall,397.0
rainfall,runoff,397.0
sediment,rainfall,343.0
rainfall,sediment,343.0
sediment,turbidity,256.0
turbidity,sediment,256.0
flow,runoff,203.0
runoff,flow,203.0
agriculture,agriculture,168.0
rainfall,nutrients,142.0
nutrients,rainfall,142.0
turbidity,rainfall,127.0
rainfall,turbidity,127.0
sediment,runoff,108.0
runoff,sediment,108.0
flow,turbidity,98.0
turbidity,flow,98.0
nutrients,flow,97.0
flow,nutrients,97.0
sediment,wind,88.0
wind,sediment,88.0
nutrients,runoff,71.0
runoff,nutrients,71.0
rainfall,water_quality,70.0
water_quality,rainfall,70.0
nutrients,sediment,68.0
sediment,nutrients,68.0
algae,algae,58.0
self_purification,self_purification,38.0
water_quality,nutrients,37.0
nutrients,water_quality,37.0
water_quality,sediment,36.0
sediment,water_quality,36.0
water_quality,flow,31.0
flow,water_quality,31.0
water_quality,turbidity,30.0
turbidity,water_quality,30.0
water_quality,runoff,23.0
runoff,water_quality,23.0
turbidity,runoff,19.0
runoff,turbidity,19.0
wind,rainfall,19.0
rainfall,wind,19.0
flow,wind,17.0
wind,flow,17.0
wind,turbidity,17.0
turbidity,wind,17.0
agriculture,sediment,16.0
sediment,agriculture,16.0
nutrients,turbidity,11.0
turbidity,nutrients,11.0
self_purification,sediment,7.0
sediment,self_purification,7.0
algae,turbidity,7.0
turbidity,algae,7.0
agriculture,runoff,5.0
runoff,agriculture,5.0
agriculture,flow,4.0
nutrients,wind,4.0
wind,nutrients,4.0
flow,agriculture,4.0
flow,self_purification,2.0
self_purification,flow,2.0
water_quality,agriculture,2.0
agriculture,nutrients,2.0
rainfall,agriculture,2.0
agriculture,rainfall,2.0
runoff,wind,2.0
agriculture,water_quality,2.0
wind,runoff,2.0
nutrients,agriculture,2.0
wind,water_quality,2.0
water_quality,wind,2.0
nutrients,algae,2.0
algae,nutrients,2.0
algae,sediment,2.0
sediment,algae,2.0
rainfall,algae,1.0
agriculture,turbidity,1.0
turbidity,agriculture,1.0
nutrients,self_purification,1.0
self_purification,nutrients,1.0
algae,rainfall,1.0
