,water_temp,ph,dissolved_oxygen,conductivity,turbidity,codmn,nh3_n,tp,tn,pressure,air_temp,humidity,precipitation,wind_speed,wind_dir_sin,wind_dir_cos,precipitation_3d,precipitation_7d,pressure_drop,resuspension_index,runoff_proxy,nutrient_risk_index,self_purification_index,mixing_proxy,settling_index,hydrodynamic_intensity,conductivity_anomaly,water_air_temp_gap,dayofyear_sin,dayofyear_cos,songpu_flow_m3s,songpu_water_level_m,huangdu_flow_m3s,huangdu_water_level_m,songpu_flow_m3s_abs,songpu_flow_m3s_reverse_flag,songpu_flow_m3s_3d_mean,songpu_flow_m3s_7d_mean,huangdu_flow_m3s_abs,huangdu_flow_m3s_reverse_flag,huangdu_flow_m3s_3d_mean,huangdu_flow_m3s_7d_mean,songpu_water_level_m_1d_diff,songpu_water_level_m_3d_mean,huangdu_water_level_m_1d_diff,huangdu_water_level_m_3d_mean,songpu_flow_level_coupling,huangdu_flow_level_coupling,songpu_flow_m3s_1d_diff,huangdu_flow_m3s_1d_diff,songpu_flow_rise_flag,huangdu_flow_rise_flag,songpu_tidal_pumping_proxy,songpu_resuspension_potential,songpu_flushing_potential,runoff_sediment_pulse
water_temp,0.00016267621,0.2196129,0.2196129,0.2196129,0.0058563435,0.2196129,0.00601902,0.00601902,0.00601902,0.0050429627,0.011387335,0.011387335,0.011387335,0.00032535242,0.00032535242,0.00032535242,0.011387335,0.011387335,0.011387335,0.0058563435,0.011387335,0.00601902,0.2196129,0.0050429627,0.0058563435,0.0050429627,0.2196129,0.2196129,0.011387335,0.011387335,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0058563435,0.0050429627,0.0058563435
ph,0.2196129,0.00016267621,0.2196129,0.2196129,0.0058563435,0.2196129,0.00601902,0.00601902,0.00601902,0.0050429627,0.011387335,0.011387335,0.011387335,0.00032535242,0.00032535242,0.00032535242,0.011387335,0.011387335,0.011387335,0.0058563435,0.011387335,0.00601902,0.2196129,0.0050429627,0.0058563435,0.0050429627,0.2196129,0.2196129,0.011387335,0.011387335,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0058563435,0.0050429627,0.0058563435
dissolved_oxygen,0.2196129,0.2196129,0.00016267621,0.2196129,0.0058563435,0.2196129,0.0060500065,0.0060545458,0.0060305246,0.0050502755,0.011387335,0.011387335,0.01140495,0.00033952552,0.00032535242,0.00032535242,0.011387335,0.011387335,0.011387335,0.005875584,0.011387335,0.00601902,0.2196129,0.0050429627,0.006181696,0.0050429627,0.2196129,0.2196129,0.011387335,0.011387335,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.005885694,0.0050429627,0.0050429627,0.006181696,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0058816453,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.005870499,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0058563435,0.0062129823,0.005869902
conductivity,0.2196129,0.2196129,0.2196129,0.00016267621,0.067703694,0.2196129,0.015787166,0.01578662,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.087701365,0.6357387,0.0676733,0.08770888,0.015779592,0.2196129,0.6357387,0.0676733,0.63575286,0.6357387,0.2196129,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357663,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.63574576,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.63576883,0.6357387,0.6357387,0.6357387,0.6357767,0.6357622,0.6357453,0.06768818
turbidity,0.0058563435,0.0058563435,0.0058563435,0.067699686,0.00016267621,0.0058563435,0.011070768,0.011090273,0.011088536,0.067682065,0.055797942,0.055797942,0.055797942,0.01432283,0.014315506,0.014315506,0.055797942,0.055797942,0.0676733,0.9999707,0.055960618,0.011175855,0.0058563435,0.0676733,0.999808,0.06778718,0.0676733,0.0058563435,0.055797942,0.055797942,0.999808,0.0676733,0.0676733,0.0676733,0.99999857,0.06778718,0.067819715,0.0676733,0.0676733,0.0676733,0.0676733,0.0676733,0.9998157,0.0676733,0.0676733,0.0676733,0.9999707,0.0676733,0.99993414,0.0676733,0.0676733,0.0676733,0.9999544,0.9998257,0.0676733,0.99995136
codmn,0.2196129,0.2196129,0.2196129,0.2196129,0.0058563435,0.00016267621,0.00601902,0.00601902,0.00601902,0.0050429627,0.011387335,0.011387335,0.011387335,0.00032535242,0.00032535242,0.00032535242,0.011387335,0.011387335,0.011387335,0.0058563435,0.011387335,0.00601902,0.2196129,0.0050429627,0.006181696,0.0050429627,0.2196129,0.2196129,0.011387335,0.011387335,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.006181696,0.0050429627,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0050429627,0.0058563435,0.0050429627,0.0050429627,0.0050429627,0.0058563435,0.0058563435,0.006181696,0.0058563435
nh3_n,0.00601902,0.00601902,0.0060599647,0.01579474,0.011079554,0.00601902,0.00016267621,0.3591891,0.3591891,0.015795955,0.023100022,0.023100022,0.02313642,0.0006624346,0.00065070484,0.00065070484,0.023100022,0.02311387,0.023100022,0.011071396,0.023113213,0.3591891,0.00601902,0.015779592,0.011061982,0.015793469,0.015779592,0.00601902,0.023100022,0.023100022,0.015779592,0.015779592,0.015779592,0.015779592,0.015798056,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015804583,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015799034,0.011563774
tp,0.00601902,0.00601902,0.0060480535,0.015793648,0.011076127,0.00601902,0.3591891,0.00016267621,0.3591891,0.015779592,0.023100022,0.023100022,0.023106985,0.00065070484,0.00065070484,0.00065070484,0.023100022,0.023100022,0.023100022,0.011061982,0.023100022,0.3591891,0.00601902,0.015779592,0.011061982,0.015779592,0.015779592,0.00601902,0.023100022,0.023100022,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.01579428,0.015779592,0.015779592,0.015779592,0.015797386,0.015779592,0.015818173,0.011550011
tn,0.00601902,0.00601902,0.0060420292,0.015779592,0.011075259,0.00601902,0.3591891,0.3591891,0.00016267621,0.015779592,0.023100022,0.023100022,0.023100022,0.00065070484,0.00065070484,0.00065070484,0.023100022,0.023100022,0.023100022,0.011061982,0.023100022,0.3591891,0.00601902,0.015779592,0.011061982,0.015779592,0.015779592,0.00601902,0.023100022,0.023100022,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.015779592,0.0158205,0.011550011
pressure,0.0050429627,0.0050429627,0.0050575887,0.6357387,0.06769083,0.0050429627,0.015787775,0.015779592,0.015779592,0.00016267621,0.08768248,0.08768248,0.08768248,0.0027978772,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.06769571,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.63575315,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357797,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357809,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357749,0.6357387,0.6357387,0.6357387,0.6357387,0.6357808,0.63575184,0.0676733
