date,water_temp,ph,dissolved_oxygen,conductivity,turbidity,codmn,nh3_n,tp,tn,station_id,weather_station_name,district,pressure,air_temp,humidity,precipitation,wind_speed,wind_dir,songpu_flow_m3s,songpu_water_level_m,huangdu_flow_m3s,huangdu_water_level_m,huangdu_flow_m3s_abs,huangdu_flow_m3s_reverse_flag,huangdu_flow_m3s_3d_mean,huangdu_flow_m3s_7d_mean,songpu_flow_m3s_abs,songpu_flow_m3s_reverse_flag,songpu_flow_m3s_3d_mean,songpu_flow_m3s_7d_mean,huangdu_water_level_m_1d_diff,huangdu_water_level_m_3d_mean,songpu_water_level_m_1d_diff,songpu_water_level_m_3d_mean,songpu_flow_level_coupling,huangdu_flow_level_coupling,boundary_label,boundary_label_available,boundary_extent_ratio,label_source,label_confidence,boundary_zone_name,notes,wind_dir_sin,wind_dir_cos,precipitation_3d,precipitation_7d,pressure_drop,conductivity_anomaly,mixing_proxy,resuspension_index,runoff_proxy,nutrient_risk_index,self_purification_index,settling_index,songpu_flow_m3s_1d_diff,songpu_flow_rise_flag,huangdu_flow_m3s_1d_diff,huangdu_flow_rise_flag,songpu_tidal_pumping_proxy,songpu_resuspension_potential,songpu_flushing_potential,runoff_sediment_pulse,hydrodynamic_intensity,water_air_temp_gap,dayofyear_sin,dayofyear_cos,clearness_proxy
2022-01-01,13.543333333333335,7.656666666666666,8.111666666666666,486.73333333333335,105.83333333333333,3.638333333333333,0.2283333333333333,0.11,2.19,58362,宝山,宝山区,1027.533333,7.9875,69.416667,0.0,1.929167,220.026741,602.0,2.12,26.4,2.48,26.4,0,26.4,26.4,602.0,0,602.0,602.0,0.0,2.48,0.0,2.12,1276.24,65.472,0.0,1.0,0.0107015457788347,DLR_GWP_P1D_real_raster_proxy,0.3571428571428571,wusongkou_aoi_boundary_proxy,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation.",-0.6431450667753911,-0.7657443588316388,0.0,0.0,0.0,0.0,4.130188818544959,1.929167,0.49658145200910364,3.5183333333333335,1.5335649776339173,0.3413939867545961,0.0,0.0,0.0,0.0,0.0,602.0,5.634945397815913,0.0,3.830848016010714,5.555833333333335,0.017201575418260506,0.9998520419557735,0.3014283106226222
2022-01-02,14.115,7.746666666666667,8.423333333333334,449.3,155.24,3.5133333333333336,0.21666666666666667,0.09333333333333334,2.2449999999999997,58362,宝山,宝山区,1027.808333,5.945833,77.416667,0.0,1.504167,29.531563,413.0,2.14,10.9,2.48,10.9,0,18.65,18.65,413.0,0,507.5,507.5,0.0,2.48,0.02,2.13,883.82,27.032,,0.0,,,,,,0.4929029454037373,0.8700842984517767,0.0,0.0,0.0,-18.71666666666664,3.1494552407529,1.511167,0.44671160074729055,3.3949999999999996,1.6727123319545583,0.39933438943968197,-189.0,0.0,-15.499999999999998,0.0,0.0,614.04,3.248207885304659,0.0,3.428774328629964,8.169167,0.03439806061360801,0.9994082116062598,0.23690810444475197
2022-01-03,14.311666666666667,7.761666666666667,8.441666666666666,426.6333333333334,127.925,3.1799999999999997,0.155,0.0,2.145,58362,宝山,宝山区,1025.466667,6.925,83.541667,0.0,0.875,53.943164,352.0,2.21,3.8,2.56,3.8,0,13.7,13.7,352.0,0,455.6666666666667,455.6666666666667,0.08,2.5066666666666664,0.0699999999999998,2.1566666666666667,777.92,9.728,,0.0,,,,,,0.8084335279563852,0.5885874878690444,0.0,0.0,2.341666000000032,-27.588888888888846,2.4623495455018314,0.8995,0.40317712406770356,2.3,2.1858348761494066,0.23715418769235988,-61.0,0.0,-7.1000000000000005,0.0,0.0,441.9099999999999,3.5343545989270244,0.0,3.4656364659583376,7.386666666666668,0.051584366869408364,0.9986686402879997,0.26952478622397835
2022-01-04,14.501666666666667,7.763333333333333,8.49,422.26666666666665,149.46833333333333,3.4683333333333337,0.19333333333333333,0.0,2.2283333333333335,58362,宝山,宝山区,1023.995833,10.533333,79.375,0.3,3.683333,81.322774,279.0,2.27,5.8,2.64,5.8,0,6.833333333333333,11.725,279.0,0,348.0,411.5,0.08,2.56,0.06,2.2066666666666666,633.33,15.312,,0.0,,,,,,0.9885539320653771,0.15086790048940754,0.3,0.3,1.470833999999968,-23.966666666666697,8.16972476073155,4.8093329,0.8468832198723004,2.421666666666667,2.0405954324792024,0.15493866210775223,-73.0,0.0,2.0,1.0,0.0,373.12,2.3127789900422018,0.6,4.946749399355328,3.968333666666666,0.06875540848113941,0.9976335468520451,0.24329703532734426
2022-01-05,14.395,7.81,8.61,404.55,138.625,3.275,0.15,0.0,1.81,58362,宝山,宝山区,1024.35,7.791667,92.666667,12.5,3.475,32.536333,160.0,2.3,4.3,2.67,4.3,0,4.633333333333333,10.239999999999998,160.0,0,263.6666666666667,361.2,0.0299999999999998,2.623333333333333,0.0299999999999998,2.26,368.0,11.481,,0.0,,,,,,0.5378343205010699,0.8430505582058245,12.8,12.8,0.0,-33.34666666666669,6.1061849184888874,47.965500000000006,24.92063857598914,1.96,2.175059038446637,0.057887120115774245,-119.0,0.0,-1.5,0.0,0.0,287.36999999999995,1.888391524917935,0.0,6.804970587852195,6.603332999999999,0.08590610426133272,0.9963032375991965,0.25599191815806344
2022-01-06,12.549999999999999,7.743333333333333,9.193333333333333,425.93333333333334,180.16,3.6966666666666668,0.26999999999999996,0.15666666666666665,2.9,58362,宝山,宝山区,1031.108333,7.129167,65.666667,0.0,2.683333,6.625343,300.0,2.43,3.9,2.73,3.9,0,4.666666666666666,9.183333333333334,300.0,0,246.33333333333331,351.0,0.06,2.68,0.1300000000000003,2.333333333333333,729.0,10.647,,0.0,,,,,,0.11537652667706425,0.9933218295657942,12.8,12.8,0.0,-9.969444444444491,3.848993181170279,37.0754954,21.465523534308215,4.736666666666666,1.572162191656118,0.06066734197507263,140.0,1.0,-0.3999999999999999,0.0,0.0,497.20000000000016,1.3597556487819238,0.0,6.598734046308584,5.420832999999999,0.10303137904317879,0.9946781061893646,0.21178948317552937
2022-01-07,12.491666666666667,7.728333333333333,9.123333333333333,426.55,146.655,3.0549999999999997,0.16833333333333333,0.13333333333333333,2.7116666666666664,58362,宝山,宝山区,1029.045833,7.083333,69.833333,0.0,1.908333,40.983242,568.0,2.44,4.6,2.76,4.6,0,4.266666666666667,8.528571428571428,568.0,0,342.6666666666667,382.0,0.0299999999999998,2.72,0.0099999999999997,2.39,1385.92,12.695999999999998,,0.0,,,,,,0.6558382617563009,0.75490143357691,12.5,12.8,2.0625,-8.016666666666652,4.111472862691136,25.7659955,21.987876271704724,4.213333333333333,1.8371898232200057,0.057238255325318496,268.0,1.0,0.6999999999999997,1.0,0.0,844.3599999999998,2.320725113722303,8.749999999999996,6.729696019562885,5.4083336666666675,0.1201261651823505,0.9927586335250793,0.24650064331870902
2022-01-08,12.426666666666668,7.698333333333333,8.785,454.6833333333334,119.87,3.301666666666667,0.21333333333333335,0.13333333333333333,2.9583333333333335,58362,宝山,宝山区,1025.683333,6.683333,68.25,0.0,1.454167,51.407135,687.0,2.36,9.9,2.77,9.9,0,6.133333333333333,6.171428571428572,687.0,0,518.3333333333334,394.1428571428572,0.0100000000000002,2.7533333333333334,-0.08,2.41,1621.32,27.423,0.0,1.0,0.0107015457788347,DLR_GWP_P1D_real_raster_proxy,0.3571428571428571,wusongkou_aoi_boundary_proxy,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation.",0.7815981576122495,0.6237822697200821,0.0,12.8,3.3624999999999545,24.695238095238096,3.5708095737505334,1.482167,21.830716795003955,4.505,1.6817703781776339,0.17191976092150502,119.0,1.0,5.300000000000001,1.0,0.0,870.48,4.288353878822978,0.0,4.295189284860788,5.7433336666666674,0.13718540405660057,0.9905453876091833,0.2804752788067899
2022-01-09,13.603333333333333,7.746666666666666,8.235,467.26666666666665,108.07333333333334,3.2883333333333336,0.23500000000000001,0.11833333333333333,2.3183333333333334,58362,宝山,宝山区,1023.383333,6.541667,71.125,0.0,1.141667,312.980013,724.0,2.29,27.5,2.73,27.5,0,14.0,8.542857142857143,724.0,0,659.6666666666666,438.57142857142856,-0.04,2.7533333333333334,-0.0699999999999998,2.3633333333333333,1657.96,75.075,,0.0,,,,,,-0.7315915647126418,0.681743193909047,0.0,12.8,2.2999999999999545,34.71190476190469,2.9648266951389886,1.166167,22.310207530165336,3.7366666666666664,1.618691231997569,0.22514069604948103,37.0,1.0,17.6,1.0,0.0,814.2699999999999,6.047918831367276,0.0,3.9106350405620978,7.061666333333333,0.1542040475626894,0.988039023376751,0.2979062339877686
2022-01-10,13.353333333333333,7.676666666666667,8.135,508.7,113.37833333333333,3.5516666666666663,0.29833333333333334,0.11666666666666665,2.285,58362,宝山,宝山区,1023.229167,6.35,75.208333,0.0,3.104167,299.084333,799.0,2.28,31.0,2.67,31.0,0,22.8,12.428571428571429,799.0,0,736.6666666666666,502.4285714285714,-0.06,2.723333333333333,-0.0100000000000002,2.31,1821.72,82.77,,0.0,,,,,,-0.8739051742712549,0.4860964373269233,0.0,12.8,0.154166000000032,64.42142857142858,6.819606362252268,3.107667,22.902119461101616,3.75,1.5203150006165191,0.23483367787347595,75.0,1.0,3.5,1.0,0.0,882.7400000000002,6.440613752604659,0.0,4.691699107402505,7.003333333333334,0.17117705961019986,0.985240282501282,0.28984531311547024
