source_feature,target_feature,lag_days,effect_strength,p_value
precipitation,hydrodynamic_intensity,1,0.6618100850817666,4.0714442724992235e-78
precipitation,precipitation_3d,1,0.6158124093897512,7.500847524454525e-65
precipitation,resuspension_index,1,0.5427223592366169,4.2817007049666024e-48
precipitation,songpu_water_level_m_1d_diff,2,0.5328130082788743,1.1473075715534307e-45
songpu_tidal_pumping_proxy,resuspension_index,1,0.48378751281489646,4.76403510606502e-37
runoff_proxy,runoff_sediment_pulse,1,0.4802215570441753,3.612389834253059e-36
precipitation_7d,runoff_sediment_pulse,1,0.43513798366268736,2.691249111255611e-29
resuspension_index,runoff_sediment_pulse,2,0.40785601560458457,1.083563587849979e-25
precipitation,runoff_proxy,1,0.3845850708001076,7.841200192923323e-23
songpu_flow_m3s_abs,songpu_flow_m3s_1d_diff,1,0.3315032436013893,7.417558146171228e-17
precipitation,precipitation_7d,1,0.3205852825595672,5.643870657258449e-16
precipitation,runoff_sediment_pulse,2,0.2770365455180619,3.4194573121192393e-12
songpu_tidal_pumping_proxy,precipitation_3d,1,0.26896591705295025,1.6113649687354838e-11
songpu_tidal_pumping_proxy,hydrodynamic_intensity,1,0.26664585851173256,2.3458753725316968e-11
songpu_tidal_pumping_proxy,precipitation,1,0.26075343524519246,5.918375693956346e-11
pressure,songpu_water_level_m_1d_diff,1,0.25950316268345636,1.127887848323603e-10
pressure,songpu_resuspension_potential,1,0.25895429876139286,1.153058217565946e-10
songpu_tidal_pumping_proxy,runoff_sediment_pulse,3,0.25730162400223144,1.2362047339496695e-10
pressure,songpu_flow_m3s_abs,1,0.2521298215036335,3.740268527926306e-10
precipitation,nh3_n,1,0.2501279294926343,4.25900618520323e-10
songpu_tidal_pumping_proxy,runoff_proxy,1,0.23295971241780875,6.704577713228886e-09
resuspension_index,songpu_flow_m3s_1d_diff,1,0.23201729297950513,7.311059965894695e-09
songpu_tidal_pumping_proxy,precipitation_7d,1,0.22851581837522347,1.2762011541054449e-08
pressure,songpu_flow_m3s_1d_diff,1,0.22300667087833273,3.037592584921552e-08
precipitation,dissolved_oxygen,1,0.21657540082068724,7.44795178670325e-08
nh3_n,dissolved_oxygen,3,0.20860672376855569,2.642090068480616e-07
songpu_flushing_potential,tp,1,0.2067602165977275,3.021038159729705e-07
wind_speed,songpu_flow_m3s_1d_diff,3,0.2028206270465512,4.676465483474633e-07
wind_speed,songpu_water_level_m_1d_diff,3,0.1999602866773591,7.41653490245911e-07
tn,songpu_flushing_potential,1,0.1917646777027028,2.061990001573956e-06
wind_speed,songpu_flow_m3s_abs,2,0.19158981270472178,2.148847534754351e-06
precipitation_3d,runoff_proxy,3,0.18894648636699296,3.0353753874568175e-06
songpu_flushing_potential,dissolved_oxygen,3,0.18598897137217316,4.510481959589823e-06
precipitation_3d,resuspension_index,3,0.1805441632861533,7.881205448745345e-06
wind_speed,dissolved_oxygen,1,0.174248942693504,1.685391440868883e-05
turbidity,tp,1,0.17390367245965355,1.869228617780461e-05
dissolved_oxygen,tp,3,0.17220090916710618,2.3709259038475948e-05
songpu_flow_m3s_abs,dissolved_oxygen,2,0.1666727161500176,4.3954135014309106e-05
wind_speed,songpu_resuspension_potential,2,0.16420050403174524,5.093823141608961e-05
turbidity,tn,1,0.1632298383139165,5.812608250867025e-05
songpu_flushing_potential,pressure,1,0.1621257109400511,6.261702510747917e-05
hydrodynamic_intensity,resuspension_index,3,0.15697279596504618,0.00010432249121916157
conductivity,songpu_tidal_pumping_proxy,1,0.15629082213482584,0.00011043440392157858
hydrodynamic_intensity,songpu_water_level_m_1d_diff,1,0.15533041349063828,0.00013169160553636202
songpu_tidal_pumping_proxy,conductivity,3,0.15504799129223362,0.00012379384927380663
nh3_n,songpu_water_level_m_1d_diff,1,0.15361682020567952,0.00016048159596288635
wind_speed,runoff_sediment_pulse,2,0.14938335355578689,0.00022112662569306595
wind_speed,nh3_n,2,0.14421023382047093,0.00037314399735045606
resuspension_index,songpu_water_level_m_1d_diff,2,0.14385439328423083,0.0003946818235635812
tn,dissolved_oxygen,3,0.14144245320482854,0.0005166560656945291
conductivity,turbidity,2,0.14099552827175485,0.0005156891041861591
pressure,wind_speed,1,0.13493783512960625,0.0008594095913463169
tp,songpu_flushing_potential,3,0.13377935481365746,0.0010104439353246244
hydrodynamic_intensity,songpu_resuspension_potential,1,0.13153152880578298,0.0012414904017947674
runoff_proxy,songpu_water_level_m_1d_diff,1,0.13083994492569745,0.0013428306384249671
conductivity,songpu_flow_m3s_1d_diff,1,0.12978439160684443,0.001390785637137604
precipitation,songpu_resuspension_potential,1,0.12899872289425873,0.0014878552680110708
wind_speed,pressure,1,0.12823305746034347,0.0015460785505806648
songpu_flow_m3s_1d_diff,turbidity,3,0.12600990943974005,0.001950486672243388
songpu_flow_m3s_abs,turbidity,1,0.12533975792226582,0.002153605699539933
runoff_sediment_pulse,songpu_water_level_m_1d_diff,2,0.1246294773725715,0.0022066519955549102
songpu_flow_m3s_abs,songpu_resuspension_potential,1,0.12398842741785754,0.002427002907059685
conductivity,runoff_proxy,2,0.1214302958092604,0.0028428959372393276
runoff_proxy,resuspension_index,3,0.1195505931011421,0.0032805240254355794
nh3_n,songpu_flushing_potential,3,0.11950654306527762,0.0032920958738351306
songpu_flushing_potential,tn,3,0.11939243246240563,0.00332224516805919
dissolved_oxygen,resuspension_index,1,0.11827361208028943,0.0036596514910313283
songpu_flow_m3s_abs,conductivity,1,0.11685617214058376,0.004185434427726492
conductivity,precipitation_7d,2,0.11606849848851236,0.004318311229076691
resuspension_index,nh3_n,1,0.11574436273322312,0.004363224229422906
resuspension_index,songpu_flow_m3s_abs,1,0.11563827756744689,0.004498589584707859
nh3_n,songpu_flow_m3s_abs,3,0.11349783405125503,0.00553739200300861
turbidity,songpu_flow_m3s_1d_diff,1,0.11214368574411195,0.005837118436455257
conductivity,songpu_flow_m3s_abs,1,0.11186114962046151,0.006132143377351568
precipitation,songpu_flow_m3s_1d_diff,1,0.11152636206471368,0.005947931426167405
songpu_flow_m3s_1d_diff,conductivity,1,0.11148221011609495,0.006093425899887934
dissolved_oxygen,songpu_water_level_m_1d_diff,1,0.11097746567886681,0.006596329688716622
tp,songpu_tidal_pumping_proxy,1,0.10938559387174122,0.0071757228234325095
turbidity,songpu_flow_m3s_abs,1,0.10912079778817955,0.007616876435359111
turbidity,songpu_resuspension_potential,1,0.10895397178529977,0.007659254010125668
nh3_n,turbidity,1,0.10802055321199544,0.008039595335244204
pressure,turbidity,2,0.10769218445210518,0.00828840377333809
songpu_resuspension_potential,runoff_sediment_pulse,1,0.10741614182037555,0.008456380482441092
runoff_sediment_pulse,runoff_proxy,3,0.10697416758878424,0.008675613680389282
resuspension_index,pressure,1,0.10648667074245666,0.00876039656801183
resuspension_index,songpu_resuspension_potential,1,0.10620650740768546,0.009054562916072916
precipitation_3d,songpu_flow_m3s_1d_diff,3,0.10401492577014457,0.010593406329926783
resuspension_index,runoff_proxy,3,0.10248060324568577,0.011804667718769896
songpu_resuspension_potential,conductivity,1,0.10095525352327381,0.01335889881494769
nh3_n,pressure,1,0.10058350873212009,0.013626539896498337
dissolved_oxygen,songpu_flushing_potential,2,0.0993287373849759,0.014933189122782993
nh3_n,precipitation,1,0.09867470385596444,0.015182961352577738
hydrodynamic_intensity,runoff_sediment_pulse,2,0.09728730372667256,0.016680162929756454
dissolved_oxygen,songpu_flow_m3s_abs,1,0.09708686342188372,0.0176530553496014
songpu_water_level_m_1d_diff,turbidity,3,0.09516522550633877,0.020038062197424093
precipitation_7d,hydrodynamic_intensity,1,0.0949304461486633,0.019521097786341403
conductivity,songpu_resuspension_potential,3,0.09416530803243328,0.021061095218484864
songpu_resuspension_potential,songpu_water_level_m_1d_diff,1,0.09316204673108237,0.0227040382477499
nh3_n,conductivity,3,0.09310951176542859,0.022217567472874386
precipitation_7d,precipitation_3d,1,0.09280096046727182,0.022553538877527268
tp,dissolved_oxygen,3,0.09237224700423467,0.024121838729043058
precipitation_3d,runoff_sediment_pulse,3,0.09201673213672754,0.023841398153899063
turbidity,conductivity,1,0.0916886105653183,0.024112625468373894
conductivity,runoff_sediment_pulse,3,0.09147161289811487,0.024569697521486456
tp,songpu_flow_m3s_1d_diff,1,0.09029137004366491,0.02699537625525747
wind_speed,turbidity,3,0.09004747200196689,0.02690063623110365
pressure,dissolved_oxygen,3,0.08990860911785023,0.02791474726115726
runoff_proxy,songpu_resuspension_potential,1,0.08968409751317571,0.02844251386143796
pressure,hydrodynamic_intensity,1,0.089460985640708,0.028044956508014363
