model,feature,importance
cmfbe_stgcn,dayofyear_sin,0.20799726247787476
cmfbe_stgcn,huangdu_water_level_m,0.12622319161891937
cmfbe_stgcn,nutrient_risk_index,0.055842384696006775
cmfbe_stgcn,huangdu_water_level_m_1d_diff,0.05029898136854172
cmfbe_stgcn,huangdu_flow_level_coupling,0.048943642526865005
cmfbe_stgcn,tn,0.0325363390147686
cmfbe_stgcn,songpu_water_level_m_1d_diff,0.02855628728866577
cmfbe_stgcn,huangdu_flow_m3s_3d_mean,0.02344650588929653
cmfbe_stgcn,songpu_flow_level_coupling,0.019657403230667114
cmfbe_stgcn,conductivity,0.019030602648854256
cmfbe_stgcn,turbidity,0.018231092020869255
cmfbe_stgcn,huangdu_flow_m3s,0.017571624368429184
cmfbe_stgcn,nh3_n,0.016725346446037292
cmfbe_stgcn,songpu_resuspension_potential,0.016690494492650032
cmfbe_stgcn,songpu_flow_m3s_1d_diff,0.015989676117897034
cmfbe_stgcn,huangdu_flow_m3s_abs,0.014564049430191517
cmfbe_stgcn,wind_dir_cos,0.013676351867616177
cmfbe_stgcn,mixing_proxy,0.011664497666060925
cmfbe_stgcn,pressure,0.011641392484307289
cmfbe_stgcn,songpu_flow_m3s_7d_mean,0.011221378110349178
cmfbe_stgcn,huangdu_flow_m3s_7d_mean,0.010433748364448547
cmfbe_stgcn,songpu_water_level_m,0.009829211980104446
cmfbe_stgcn,precipitation_3d,0.009676502086222172
cmfbe_stgcn,songpu_flow_m3s,0.009083636105060577
cmfbe_stgcn,humidity,0.009051220491528511
cmfbe_stgcn,air_temp,0.008746350184082985
cmfbe_stgcn,dissolved_oxygen,0.008226139470934868
cmfbe_stgcn,huangdu_flow_m3s_1d_diff,0.00820047128945589
cmfbe_stgcn,dayofyear_cos,0.007866275496780872
cmfbe_stgcn,songpu_water_level_m_3d_mean,0.007647215388715267
cmfbe_stgcn,runoff_sediment_pulse,0.007160319481045008
cmfbe_stgcn,wind_dir_sin,0.00710070738568902
cmfbe_stgcn,self_purification_index,0.0070537966676056385
cmfbe_stgcn,water_temp,0.006974281743168831
cmfbe_stgcn,water_air_temp_gap,0.006944093853235245
cmfbe_stgcn,codmn,0.006468803156167269
cmfbe_stgcn,songpu_flow_m3s_abs,0.006335688754916191
cmfbe_stgcn,precipitation,0.006256968714296818
cmfbe_stgcn,precipitation_7d,0.006244959309697151
cmfbe_stgcn,ph,0.006201766896992922
cmfbe_stgcn,songpu_flow_m3s_3d_mean,0.006156314164400101
cmfbe_stgcn,songpu_flushing_potential,0.00605110265314579
cmfbe_stgcn,huangdu_flow_m3s_reverse_flag,0.006016754079610109
cmfbe_stgcn,settling_index,0.005905342288315296
cmfbe_stgcn,songpu_flow_rise_flag,0.005893439054489136
cmfbe_stgcn,huangdu_flow_rise_flag,0.005789213813841343
cmfbe_stgcn,resuspension_index,0.005732773803174496
cmfbe_stgcn,pressure_drop,0.005638696253299713
cmfbe_stgcn,tp,0.005245748441666365
cmfbe_stgcn,huangdu_water_level_m_3d_mean,0.005214395001530647
cmfbe_stgcn,runoff_proxy,0.004927988164126873
cmfbe_stgcn,wind_speed,0.004920578096061945
cmfbe_stgcn,conductivity_anomaly,0.004719078075140715
cmfbe_stgcn,songpu_tidal_pumping_proxy,0.004249250516295433
cmfbe_stgcn,songpu_flow_m3s_reverse_flag,0.003894111607223749
cmfbe_stgcn,hydrodynamic_intensity,0.0036345268599689007
mscim,dayofyear_sin,0.12035275995731354
mscim,tn,0.09070152789354324
mscim,conductivity,0.058066464960575104
mscim,huangdu_flow_m3s_1d_diff,0.028334246948361397
mscim,water_temp,0.02481052652001381
mscim,huangdu_water_level_m_3d_mean,0.02468491718173027
mscim,songpu_flow_m3s_3d_mean,0.024262739345431328
mscim,huangdu_flow_m3s_7d_mean,0.02366773411631584
mscim,dayofyear_cos,0.022575611248612404
mscim,songpu_flow_m3s_7d_mean,0.02081102877855301
mscim,songpu_water_level_m,0.020619573071599007
mscim,wind_speed,0.019680658355355263
mscim,huangdu_flow_m3s,0.01891411654651165
mscim,songpu_flow_rise_flag,0.017422029748558998
mscim,songpu_water_level_m_3d_mean,0.017194077372550964
mscim,songpu_flow_m3s_1d_diff,0.0170738585293293
mscim,pressure,0.014859487302601337
mscim,dissolved_oxygen,0.014400109648704529
mscim,huangdu_flow_level_coupling,0.014260545372962952
mscim,humidity,0.014256594702601433
mscim,huangdu_water_level_m,0.014062640257179737
mscim,precipitation_7d,0.013904551975429058
mscim,runoff_proxy,0.013415937311947346
mscim,ph,0.012921890243887901
mscim,huangdu_flow_m3s_3d_mean,0.01280528586357832
mscim,wind_dir_sin,0.012645473703742027
mscim,songpu_flow_level_coupling,0.012411095201969147
mscim,self_purification_index,0.01236842479556799
mscim,runoff_sediment_pulse,0.012010928243398666
mscim,hydrodynamic_intensity,0.01197764091193676
mscim,air_temp,0.011918113566935062
mscim,precipitation_3d,0.011849727481603622
mscim,settling_index,0.01183317694813013
mscim,mixing_proxy,0.011635725386440754
mscim,turbidity,0.011624290607869625
mscim,precipitation,0.011549761518836021
mscim,nh3_n,0.011453806422650814
mscim,wind_dir_cos,0.011290851049125195
mscim,tp,0.01106300763785839
mscim,conductivity_anomaly,0.01101547572761774
mscim,songpu_flow_m3s,0.010848482139408588
mscim,huangdu_water_level_m_1d_diff,0.010721992701292038
mscim,songpu_tidal_pumping_proxy,0.01028388924896717
mscim,huangdu_flow_rise_flag,0.010177906602621078
mscim,codmn,0.01015183050185442
mscim,songpu_flushing_potential,0.009879996068775654
mscim,huangdu_flow_m3s_reverse_flag,0.00984246376901865
mscim,resuspension_index,0.00959961861371994
mscim,nutrient_risk_index,0.009550514630973339
mscim,huangdu_flow_m3s_abs,0.009509488940238953
mscim,songpu_water_level_m_1d_diff,0.008891758508980274
mscim,songpu_resuspension_potential,0.008743519894778728
mscim,pressure_drop,0.008481712080538273
mscim,water_air_temp_gap,0.008333412930369377
mscim,songpu_flow_m3s_reverse_flag,0.007890823297202587
mscim,songpu_flow_m3s_abs,0.006386205554008484
mscim_no_kg,songpu_water_level_m_3d_mean,0.135768324136734
mscim_no_kg,tn,0.03438408300280571
mscim_no_kg,huangdu_water_level_m,0.03435740992426872
