entity_id,entity_name,entity_type
E0001,风,环境因子
E0002,沉积物再悬浮,水质因子
E0003,风场,环境因子
E0004,水动力强度,环境因子
E0005,太湖,水体对象
E0006,浅水湖泊,水体对象
E0007,营养盐释放,水质因子
E0008,剪切应力,环境因子
E0009,再悬浮沉积物浓度和粒径,水质因子
E0010,水动力扰动,环境因子
E0011,水深,环境因子
E0012,风致水动力扰动,环境因子
E0013,波浪-底边界层过程,环境因子
E0014,Lake Taihu,水体对象
E0015,水温,环境因子
E0016,Meiliang Bay,水体对象
E0017,风速,环境因子
E0018,Tuoshan Bay,水体对象
E0019,总氮,水质因子
E0020,总磷,水质因子
E0021,有机质含量,水质因子
E0022,含水率,水质因子
E0023,沉积物粒径,水质因子
E0024,沉积物容重,水质因子
E0025,悬浮物浓度,水质因子
E0026,波浪,环境因子
E0027,流速,环境因子
E0028,浊度,清澈度指标
E0029,光学后向散射传感器,监测方法
E0030,现场监测,监测方法
E0031,近底区剪切应力,环境因子
E0032,悬浮物再悬浮,水质因子
E0033,波浪与水流共同作用,环境因子
E0034,OBS-3A,监测方法
E0035,总悬浮物浓度,水质因子
E0036,人工采样,监测方法
E0037,风速/风向,环境因子
E0038,TLLER气象站,监测方法
E0039,PH-II手持式气象站,监测方法
E0040,波高,环境因子
E0041,RBRduo T.D | wave,监测方法
E0042,风向,环境因子
E0043,水体混合或再悬浮,水质过程
E0044,波周期,环境因子
E0045,底床剪切应力,环境因子
E0046,底泥再悬浮,水质过程
E0047,表面浊度,清澈度指标
E0048,底层浊度,清澈度指标
E0049,低密度有机质,水质因子
E0050,藻类和浮游动物,水质生物组分
E0051,波切应力,环境因子
E0052,流切应力,环境因子
E0053,波致剪切应力,环境因子
E0054,流致剪切应力,环境因子
E0055,波流共同剪切应力,环境因子
E0056,泥沙再悬浮速率,水质因子
E0057,水位,环境因子
E0058,磷分布,水质因子
E0059,磷释放,水质因子
E0060,总氮释放,水质因子
E0061,总磷释放,水质因子
E0062,有机质释放,水质因子
E0063,梅梁湾,水体对象
E0064,泥沙再悬浮,水质因子
E0065,总切应力,环境因子
E0066,光学和声学技术,监测方法
